county,precinct,office,district,party,candidate,votes
Madera,1002,Controller,,DEM,Betty Yee,7
Madera,1002,Controller,,DEM,John Perez,27
Madera,1002,Controller,,DEM,Tammy Blair,2
Madera,1002,Controller,,GRN,Laura Wells,1
Madera,1002,Controller,,REP,Ashley Swearengin,103
Madera,1002,Controller,,REP,David Evans,27
Madera,1004,Controller,,DEM,Betty Yee,3
Madera,1004,Controller,,DEM,John Perez,9
Madera,1004,Controller,,DEM,Tammy Blair,4
Madera,1004,Controller,,GRN,Laura Wells,1
Madera,1004,Controller,,REP,Ashley Swearengin,44
Madera,1004,Controller,,REP,David Evans,14
Madera,1307,Controller,,DEM,Betty Yee,13
Madera,1307,Controller,,DEM,John Perez,12
Madera,1307,Controller,,DEM,Tammy Blair,2
Madera,1307,Controller,,GRN,Laura Wells,2
Madera,1307,Controller,,REP,Ashley Swearengin,104
Madera,1307,Controller,,REP,David Evans,34
Madera,1308,Controller,,DEM,Betty Yee,3
Madera,1308,Controller,,DEM,John Perez,14
Madera,1308,Controller,,DEM,Tammy Blair,3
Madera,1308,Controller,,GRN,Laura Wells,3
Madera,1308,Controller,,REP,Ashley Swearengin,53
Madera,1308,Controller,,REP,David Evans,20
Madera,1309,Controller,,DEM,Betty Yee,47
Madera,1309,Controller,,DEM,John Perez,70
Madera,1309,Controller,,DEM,Tammy Blair,17
Madera,1309,Controller,,GRN,Laura Wells,17
Madera,1309,Controller,,REP,Ashley Swearengin,303
Madera,1309,Controller,,REP,David Evans,88
Madera,1311,Controller,,DEM,Betty Yee,2
Madera,1311,Controller,,DEM,John Perez,1
Madera,1311,Controller,,DEM,Tammy Blair,2
Madera,1311,Controller,,GRN,Laura Wells,0
Madera,1311,Controller,,REP,Ashley Swearengin,3
Madera,1311,Controller,,REP,David Evans,4
Madera,1313,Controller,,DEM,Betty Yee,0
Madera,1313,Controller,,DEM,John Perez,0
Madera,1313,Controller,,DEM,Tammy Blair,0
Madera,1313,Controller,,GRN,Laura Wells,0
Madera,1313,Controller,,REP,Ashley Swearengin,0
Madera,1313,Controller,,REP,David Evans,0
Madera,1314,Controller,,DEM,Betty Yee,0
Madera,1314,Controller,,DEM,John Perez,0
Madera,1314,Controller,,DEM,Tammy Blair,0
Madera,1314,Controller,,GRN,Laura Wells,0
Madera,1314,Controller,,REP,Ashley Swearengin,0
Madera,1314,Controller,,REP,David Evans,0
Madera,1315,Controller,,DEM,Betty Yee,0
Madera,1315,Controller,,DEM,John Perez,1
Madera,1315,Controller,,DEM,Tammy Blair,0
Madera,1315,Controller,,GRN,Laura Wells,0
Madera,1315,Controller,,REP,Ashley Swearengin,2
Madera,1315,Controller,,REP,David Evans,0
Madera,1316,Controller,,DEM,Betty Yee,6
Madera,1316,Controller,,DEM,John Perez,32
Madera,1316,Controller,,DEM,Tammy Blair,5
Madera,1316,Controller,,GRN,Laura Wells,4
Madera,1316,Controller,,REP,Ashley Swearengin,14
Madera,1316,Controller,,REP,David Evans,5
Madera,1317,Controller,,DEM,Betty Yee,12
Madera,1317,Controller,,DEM,John Perez,25
Madera,1317,Controller,,DEM,Tammy Blair,4
Madera,1317,Controller,,GRN,Laura Wells,2
Madera,1317,Controller,,REP,Ashley Swearengin,31
Madera,1317,Controller,,REP,David Evans,10
Madera,1318,Controller,,DEM,Betty Yee,18
Madera,1318,Controller,,DEM,John Perez,57
Madera,1318,Controller,,DEM,Tammy Blair,6
Madera,1318,Controller,,GRN,Laura Wells,2
Madera,1318,Controller,,REP,Ashley Swearengin,34
Madera,1318,Controller,,REP,David Evans,12
Madera,1319,Controller,,DEM,Betty Yee,1
Madera,1319,Controller,,DEM,John Perez,6
Madera,1319,Controller,,DEM,Tammy Blair,2
Madera,1319,Controller,,GRN,Laura Wells,1
Madera,1319,Controller,,REP,Ashley Swearengin,27
Madera,1319,Controller,,REP,David Evans,9
Madera,1415,Controller,,DEM,Betty Yee,16
Madera,1415,Controller,,DEM,John Perez,11
