county,precinct,office,district,party,candidate,votes
Mariposa,1001,Board of Equalization,1,DEM,Chris Parker,110
Mariposa,1001,Board of Equalization,1,REP,George Runner,23
Mariposa,1002,Board of Equalization,1,DEM,Chris Parker,47
Mariposa,1002,Board of Equalization,1,REP,George Runner,66
Mariposa,1003,Board of Equalization,1,DEM,Chris Parker,121
Mariposa,1003,Board of Equalization,1,REP,George Runner,165
Mariposa,1004,Board of Equalization,1,DEM,Chris Parker,13
Mariposa,1004,Board of Equalization,1,REP,George Runner,9
Mariposa,1005,Board of Equalization,1,DEM,Chris Parker,64
Mariposa,1005,Board of Equalization,1,REP,George Runner,32
Mariposa,1006,Board of Equalization,1,DEM,Chris Parker,59
Mariposa,1006,Board of Equalization,1,REP,George Runner,141
Mariposa,2001,Board of Equalization,1,DEM,Chris Parker,6
Mariposa,2001,Board of Equalization,1,REP,George Runner,3
Mariposa,2002,Board of Equalization,1,DEM,Chris Parker,80
Mariposa,2002,Board of Equalization,1,REP,George Runner,116
Mariposa,2003,Board of Equalization,1,DEM,Chris Parker,65
Mariposa,2003,Board of Equalization,1,REP,George Runner,136
Mariposa,2005,Board of Equalization,1,DEM,Chris Parker,70
Mariposa,2005,Board of Equalization,1,REP,George Runner,152
Mariposa,3001,Board of Equalization,1,DEM,Chris Parker,78
Mariposa,3001,Board of Equalization,1,REP,George Runner,232
Mariposa,3002,Board of Equalization,1,DEM,Chris Parker,11
Mariposa,3002,Board of Equalization,1,REP,George Runner,49
Mariposa,3003,Board of Equalization,1,DEM,Chris Parker,97
Mariposa,3003,Board of Equalization,1,REP,George Runner,166
Mariposa,3004,Board of Equalization,1,DEM,Chris Parker,121
Mariposa,3004,Board of Equalization,1,REP,George Runner,229
Mariposa,3005,Board of Equalization,1,DEM,Chris Parker,4
Mariposa,3005,Board of Equalization,1,REP,George Runner,21
Mariposa,3006,Board of Equalization,1,DEM,Chris Parker,26
Mariposa,3006,Board of Equalization,1,REP,George Runner,79
Mariposa,4001,Board of Equalization,1,DEM,Chris Parker,68
Mariposa,4001,Board of Equalization,1,REP,George Runner,166
Mariposa,4002,Board of Equalization,1,DEM,Chris Parker,120
Mariposa,4002,Board of Equalization,1,REP,George Runner,170
Mariposa,4003,Board of Equalization,1,DEM,Chris Parker,76
Mariposa,4003,Board of Equalization,1,REP,George Runner,125
Mariposa,4004,Board of Equalization,1,DEM,Chris Parker,52
Mariposa,4004,Board of Equalization,1,REP,George Runner,116
Mariposa,5001,Board of Equalization,1,DEM,Chris Parker,68
Mariposa,5001,Board of Equalization,1,REP,George Runner,150
Mariposa,5002,Board of Equalization,1,DEM,Chris Parker,74
Mariposa,5002,Board of Equalization,1,REP,George Runner,192
Mariposa,5003,Board of Equalization,1,DEM,Chris Parker,28
Mariposa,5003,Board of Equalization,1,REP,George Runner,30
Mariposa,5004,Board of Equalization,1,DEM,Chris Parker,101
Mariposa,5004,Board of Equalization,1,REP,George Runner,203
Mariposa,5005,Board of Equalization,1,DEM,Chris Parker,53
Mariposa,5005,Board of Equalization,1,REP,George Runner,156
