county,precinct,office,district,party,candidate,votes
Imperial,121004,Attorney General,,REP,David King,14
Imperial,121004,Attorney General,,REP,John Haggerty,5
Imperial,121004,Attorney General,,LIB,Jonathan Jaech,4
Imperial,121004,Attorney General,,DEM,Kamala D. Harris,124
Imperial,121004,Attorney General,,IND,Orly Taitz,9
Imperial,121004,Attorney General,,REP,Phil Wyman,2
Imperial,121004,Attorney General,,REP,Ronald Gold,13
Imperial,121004,Board of Equalization,4,REP,Diane L. Harkey,11
Imperial,121004,Board of Equalization,4,REP,John F. Kelly,16
Imperial,121004,Board of Equalization,4,REP,Lewis Da Silva,21
Imperial,121004,Board of Equalization,4,DEM,Nader Shahatit,109
Imperial,121004,Board of Equalization,4,REP,Shirley Horton,11
Imperial,121004,Board of Equalization,4,REP,Van Tran,2
Imperial,121004,Controller,,REP,Ashley Swearengin,5
Imperial,121004,Controller,,DEM,Betty T. Yee,22
Imperial,121004,Controller,,REP,David Evans,9
Imperial,121004,Controller,,DEM,John A. Pérez,89
Imperial,121004,Controller,,GRN,Laura Wells,14
Imperial,121004,Controller,,DEM,Tammy D. Blair,25
Imperial,121004,Governor,,IND,"""Bo"" Bogdan Ambrozewicz",2
Imperial,121004,Governor,,DEM,Akinyemi Agbede,18
Imperial,121004,Governor,,REP,Alma Marie Winston,3
Imperial,121004,Governor,,PAF,Cindy L. Sheehan,4
Imperial,121004,Governor,,DEM,"Edmund G. ""Jerry"" Brown",90
Imperial,121004,Governor,,REP,Glenn Champ,1
Imperial,121004,Governor,,IND,Janel Hyeshia Buycks,1
Imperial,121004,Governor,,IND,Joe Leicht,1
Imperial,121004,Governor,,GRN,Luis J. Rodriguez,22
Imperial,121004,Governor,,REP,Richard William Aguirre,9
Imperial,121004,Governor,,IND,Robert Newman,5
Imperial,121004,Governor,,REP,Tim Donnelly,7
Imperial,121004,Insurance Commissioner,,DEM,Dave Jones,140
Imperial,121004,Insurance Commissioner,,PAF,Nathalie Hrizi,18
Imperial,121004,Insurance Commissioner,,REP,Ted Gaines,15
Imperial,121004,Lieutenant Governor,,AME,Alan Reynolds,10
Imperial,121004,Lieutenant Governor,,PAF,Amos Johnson,7
Imperial,121004,Lieutenant Governor,,REP,David Fennell,12
Imperial,121004,Lieutenant Governor,,DEM,Eric Korevaar,40
Imperial,121004,Lieutenant Governor,,DEM,Gavin Newsom,64
Imperial,121004,Lieutenant Governor,,REP,George Yang,16
Imperial,121004,Lieutenant Governor,,GRN,Jena F. Goodman,7
Imperial,121004,Lieutenant Governor,,REP,Ron Nehring,5
Imperial,121004,Proposition 41,,,No,27
Imperial,121004,Proposition 41,,,Yes,142
Imperial,121004,Proposition 42,,,No,42
Imperial,121004,Proposition 42,,,Yes,104
Imperial,121004,Secretary of State,,DEM,Alex Padilla,109
Imperial,121004,Secretary of State,,IND,Dan Schnur,3
Imperial,121004,Secretary of State,,GRN,David Curtis,8
Imperial,121004,Secretary of State,,DEM,Derek Cressman,16
Imperial,121004,Secretary of State,,DEM,Jeffrey H. Drobman,4
Imperial,121004,Secretary of State,,DEM,Leland Yee,16
Imperial,121004,Secretary of State,,REP,Pete Peterson,5
Imperial,121004,Secretary of State,,REP,Roy Allmond,5
Imperial,121004,State Assembly,56,REP,Charles Bennett Jr.,18
Imperial,121004,State Assembly,56,DEM,Eduardo Garcia,151
Imperial,121004,State Senate,40,DEM,Ben Hueso,100
Imperial,121004,State Senate,40,DEM,Rafael Estrada,69
Imperial,121004,Superintendent of Public Instruction,,NOP,Lydia A. Gutiérrez,115
Imperial,121004,Superintendent of Public Instruction,,NOP,Marshall Tuck,18
Imperial,121004,Superintendent of Public Instruction,,NOP,Tom Torlakson,35
Imperial,121004,Treasurer,,GRN,Ellen H. Brown,26
Imperial,121004,Treasurer,,REP,Greg Conlon,10
Imperial,121004,Treasurer,,DEM,John Chiang,135
Imperial,121004,U.S. House,51,DEM,Juan Vargas,164
Imperial,121004,U.S. House,51,REP,Stephen Meade,11
Imperial,121005,Attorney General,,REP,David King,22
Imperial,121005,Attorney General,,REP,John Haggerty,10
Imperial,121005,Attorney General,,LIB,Jonathan Jaech,8
Imperial,121005,Attorney General,,DEM,Kamala D. Harris,195
Imperial,121005,Attorney General,,IND,Orly Taitz,11
Imperial,121005,Attorney General,,REP,Phil Wyman,8
Imperial,121005,Attorney General,,REP,Ronald Gold,23
Imperial,121005,Board of Equalization,4,REP,Diane L. Harkey,20
Imperial,121005,Board of Equalization,4,REP,John F. Kelly,25
Imperial,121005,Board of Equalization,4,REP,Lewis Da Silva,31
Imperial,121005,Board of Equalization,4,DEM,Nader Shahatit,179
Imperial,121005,Board of Equalization,4,REP,Shirley Horton,12
Imperial,121005,Board of Equalization,4,REP,Van Tran,5
Imperial,121005,Controller,,REP,Ashley Swearengin,15
Imperial,121005,Controller,,DEM,Betty T. Yee,32
Imperial,121005,Controller,,REP,David Evans,10
Imperial,121005,Controller,,DEM,John A. Pérez,191
