county,precinct,office,district,party,candidate,votes
Sierra,001,Governor,,DEM,Akinyemi Agbede,2
Sierra,001,Governor,,DEM,Edmund G. Brown,45
Sierra,001,Governor,,GRN,Luis Rodriguez,0
Sierra,001,Governor,,IND,Bogdan Ambrozewicz,1
Sierra,001,Governor,,IND,Janel Buycks,1
Sierra,001,Governor,,IND,Joe Leicht,2
Sierra,001,Governor,,IND,Rakesh Christian,0
Sierra,001,Governor,,IND,Robert Newman,6
Sierra,001,Governor,,PAF,Cindy Sheehan,2
Sierra,001,Governor,,REP,Alma Winston,5
Sierra,001,Governor,,REP,Andrew Blount,3
Sierra,001,Governor,,REP,Glenn Champ,3
Sierra,001,Governor,,REP,Neel Kashkari,14
Sierra,001,Governor,,REP,Richard Aguirre,1
Sierra,001,Governor,,REP,Tim Donnelly,27
Sierra,002,Governor,,DEM,Akinyemi Agbede,0
Sierra,002,Governor,,DEM,Edmund G. Brown,23
Sierra,002,Governor,,GRN,Luis Rodriguez,2
Sierra,002,Governor,,IND,Bogdan Ambrozewicz,0
Sierra,002,Governor,,IND,Janel Buycks,0
Sierra,002,Governor,,IND,Joe Leicht,0
Sierra,002,Governor,,IND,Rakesh Christian,0
Sierra,002,Governor,,IND,Robert Newman,1
Sierra,002,Governor,,PAF,Cindy Sheehan,1
Sierra,002,Governor,,REP,Alma Winston,0
Sierra,002,Governor,,REP,Andrew Blount,4
Sierra,002,Governor,,REP,Glenn Champ,1
Sierra,002,Governor,,REP,Neel Kashkari,11
Sierra,002,Governor,,REP,Richard Aguirre,2
Sierra,002,Governor,,REP,Tim Donnelly,4
Sierra,003,Governor,,DEM,Akinyemi Agbede,0
Sierra,003,Governor,,DEM,Edmund G. Brown,21
Sierra,003,Governor,,GRN,Luis Rodriguez,3
Sierra,003,Governor,,IND,Bogdan Ambrozewicz,0
Sierra,003,Governor,,IND,Janel Buycks,0
Sierra,003,Governor,,IND,Joe Leicht,0
Sierra,003,Governor,,IND,Rakesh Christian,0
Sierra,003,Governor,,IND,Robert Newman,1
Sierra,003,Governor,,PAF,Cindy Sheehan,2
Sierra,003,Governor,,REP,Alma Winston,1
Sierra,003,Governor,,REP,Andrew Blount,1
Sierra,003,Governor,,REP,Glenn Champ,0
Sierra,003,Governor,,REP,Neel Kashkari,9
Sierra,003,Governor,,REP,Richard Aguirre,0
Sierra,003,Governor,,REP,Tim Donnelly,10
Sierra,004,Governor,,DEM,Akinyemi Agbede,0
Sierra,004,Governor,,DEM,Edmund G. Brown,25
Sierra,004,Governor,,GRN,Luis Rodriguez,0
Sierra,004,Governor,,IND,Bogdan Ambrozewicz,2
Sierra,004,Governor,,IND,Janel Buycks,0
Sierra,004,Governor,,IND,Joe Leicht,0
Sierra,004,Governor,,IND,Rakesh Christian,1
Sierra,004,Governor,,IND,Robert Newman,1
Sierra,004,Governor,,PAF,Cindy Sheehan,3
Sierra,004,Governor,,REP,Alma Winston,0
Sierra,004,Governor,,REP,Andrew Blount,0
Sierra,004,Governor,,REP,Glenn Champ,1
Sierra,004,Governor,,REP,Neel Kashkari,9
Sierra,004,Governor,,REP,Richard Aguirre,0
Sierra,004,Governor,,REP,Tim Donnelly,7
Sierra,005,Governor,,DEM,Akinyemi Agbede,0
Sierra,005,Governor,,DEM,Edmund G. Brown,30
Sierra,005,Governor,,GRN,Luis Rodriguez,3
Sierra,005,Governor,,IND,Bogdan Ambrozewicz,0
Sierra,005,Governor,,IND,Janel Buycks,0
Sierra,005,Governor,,IND,Joe Leicht,0
Sierra,005,Governor,,IND,Rakesh Christian,0
Sierra,005,Governor,,IND,Robert Newman,2
Sierra,005,Governor,,PAF,Cindy Sheehan,3
Sierra,005,Governor,,REP,Alma Winston,2
Sierra,005,Governor,,REP,Andrew Blount,3
Sierra,005,Governor,,REP,Glenn Champ,5
Sierra,005,Governor,,REP,Neel Kashkari,10
Sierra,005,Governor,,REP,Richard Aguirre,0
Sierra,005,Governor,,REP,Tim Donnelly,13
Sierra,006,Governor,,DEM,Akinyemi Agbede,0
Sierra,006,Governor,,DEM,Edmund G. Brown,42
Sierra,006,Governor,,GRN,Luis Rodriguez,0
Sierra,006,Governor,,IND,Bogdan Ambrozewicz,0
Sierra,006,Governor,,IND,Janel Buycks,0
Sierra,006,Governor,,IND,Joe Leicht,1
Sierra,006,Governor,,IND,Rakesh Christian,0
Sierra,006,Governor,,IND,Robert Newman,2
Sierra,006,Governor,,PAF,Cindy Sheehan,2
Sierra,006,Governor,,REP,Alma Winston,2
Sierra,006,Governor,,REP,Andrew Blount,2
Sierra,006,Governor,,REP,Glenn Champ,3
Sierra,006,Governor,,REP,Neel Kashkari,19
Sierra,006,Governor,,REP,Richard Aguirre,0
Sierra,006,Governor,,REP,Tim Donnelly,23
Sierra,007,Governor,,DEM,Akinyemi Agbede,0
Sierra,007,Governor,,DEM,Edmund G. Brown,44
Sierra,007,Governor,,GRN,Luis Rodriguez,1
