county,precinct,office,district,party,candidate,votes
Ventura,200,Secretary of State,,DEM,Alex Padilla,0
Ventura,200,Secretary of State,,DEM,Derek Cressman,0
Ventura,200,Secretary of State,,DEM,Jeffrey Drobman,0
Ventura,200,Secretary of State,,DEM,Leland Yee,0
Ventura,200,Secretary of State,,GRN,David Curtis,0
Ventura,200,Secretary of State,,IND,Dan Schnur,0
Ventura,200,Secretary of State,,REP,Pete Peterson,2
Ventura,200,Secretary of State,,REP,Roy Allmond,0
Ventura,202,Secretary of State,,DEM,Alex Padilla,1
Ventura,202,Secretary of State,,DEM,Derek Cressman,0
Ventura,202,Secretary of State,,DEM,Jeffrey Drobman,0
Ventura,202,Secretary of State,,DEM,Leland Yee,1
Ventura,202,Secretary of State,,GRN,David Curtis,1
Ventura,202,Secretary of State,,IND,Dan Schnur,0
Ventura,202,Secretary of State,,REP,Pete Peterson,1
Ventura,202,Secretary of State,,REP,Roy Allmond,0
Ventura,350,Secretary of State,,DEM,Alex Padilla,10
Ventura,350,Secretary of State,,DEM,Derek Cressman,3
Ventura,350,Secretary of State,,DEM,Jeffrey Drobman,2
Ventura,350,Secretary of State,,DEM,Leland Yee,5
Ventura,350,Secretary of State,,GRN,David Curtis,1
Ventura,350,Secretary of State,,IND,Dan Schnur,7
Ventura,350,Secretary of State,,REP,Pete Peterson,43
Ventura,350,Secretary of State,,REP,Roy Allmond,3
Ventura,352,Secretary of State,,DEM,Alex Padilla,7
Ventura,352,Secretary of State,,DEM,Derek Cressman,1
Ventura,352,Secretary of State,,DEM,Jeffrey Drobman,0
Ventura,352,Secretary of State,,DEM,Leland Yee,1
Ventura,352,Secretary of State,,GRN,David Curtis,1
Ventura,352,Secretary of State,,IND,Dan Schnur,3
Ventura,352,Secretary of State,,REP,Pete Peterson,10
Ventura,352,Secretary of State,,REP,Roy Allmond,0
Ventura,360,Secretary of State,,DEM,Alex Padilla,0
Ventura,360,Secretary of State,,DEM,Derek Cressman,0
Ventura,360,Secretary of State,,DEM,Jeffrey Drobman,0
Ventura,360,Secretary of State,,DEM,Leland Yee,0
Ventura,360,Secretary of State,,GRN,David Curtis,0
Ventura,360,Secretary of State,,IND,Dan Schnur,0
Ventura,360,Secretary of State,,REP,Pete Peterson,0
Ventura,360,Secretary of State,,REP,Roy Allmond,0
Ventura,364,Secretary of State,,DEM,Alex Padilla,0
Ventura,364,Secretary of State,,DEM,Derek Cressman,0
Ventura,364,Secretary of State,,DEM,Jeffrey Drobman,0
Ventura,364,Secretary of State,,DEM,Leland Yee,0
Ventura,364,Secretary of State,,GRN,David Curtis,0
Ventura,364,Secretary of State,,IND,Dan Schnur,0
Ventura,364,Secretary of State,,REP,Pete Peterson,0
Ventura,364,Secretary of State,,REP,Roy Allmond,0
Ventura,400,Secretary of State,,DEM,Alex Padilla,13
Ventura,400,Secretary of State,,DEM,Derek Cressman,4
Ventura,400,Secretary of State,,DEM,Jeffrey Drobman,5
Ventura,400,Secretary of State,,DEM,Leland Yee,0
Ventura,400,Secretary of State,,GRN,David Curtis,0
Ventura,400,Secretary of State,,IND,Dan Schnur,6
Ventura,400,Secretary of State,,REP,Pete Peterson,25
Ventura,400,Secretary of State,,REP,Roy Allmond,3
Ventura,420,Secretary of State,,DEM,Alex Padilla,21
Ventura,420,Secretary of State,,DEM,Derek Cressman,1
Ventura,420,Secretary of State,,DEM,Jeffrey Drobman,5
Ventura,420,Secretary of State,,DEM,Leland Yee,4
Ventura,420,Secretary of State,,GRN,David Curtis,0
Ventura,420,Secretary of State,,IND,Dan Schnur,5
Ventura,420,Secretary of State,,REP,Pete Peterson,23
Ventura,420,Secretary of State,,REP,Roy Allmond,3
Ventura,422,Secretary of State,,DEM,Alex Padilla,4
Ventura,422,Secretary of State,,DEM,Derek Cressman,0
Ventura,422,Secretary of State,,DEM,Jeffrey Drobman,1
Ventura,422,Secretary of State,,DEM,Leland Yee,0
Ventura,422,Secretary of State,,GRN,David Curtis,0
Ventura,422,Secretary of State,,IND,Dan Schnur,1
Ventura,422,Secretary of State,,REP,Pete Peterson,11
Ventura,422,Secretary of State,,REP,Roy Allmond,1
Ventura,500,Secretary of State,,DEM,Alex Padilla,4
Ventura,500,Secretary of State,,DEM,Derek Cressman,0
Ventura,500,Secretary of State,,DEM,Jeffrey Drobman,0
Ventura,500,Secretary of State,,DEM,Leland Yee,2
Ventura,500,Secretary of State,,GRN,David Curtis,1
Ventura,500,Secretary of State,,IND,Dan Schnur,0
Ventura,500,Secretary of State,,REP,Pete Peterson,8
Ventura,500,Secretary of State,,REP,Roy Allmond,0
Ventura,502,Secretary of State,,DEM,Alex Padilla,0
Ventura,502,Secretary of State,,DEM,Derek Cressman,0
Ventura,502,Secretary of State,,DEM,Jeffrey Drobman,0
Ventura,502,Secretary of State,,DEM,Leland Yee,0
Ventura,502,Secretary of State,,GRN,David Curtis,0
Ventura,502,Secretary of State,,IND,Dan Schnur,0
Ventura,502,Secretary of State,,REP,Pete Peterson,0
Ventura,502,Secretary of State,,REP,Roy Allmond,0
Ventura,506,Secretary of State,,DEM,Alex Padilla,93
Ventura,506,Secretary of State,,DEM,Derek Cressman,16
Ventura,506,Secretary of State,,DEM,Jeffrey Drobman,6
Ventura,506,Secretary of State,,DEM,Leland Yee,8
Ventura,506,Secretary of State,,GRN,David Curtis,15
Ventura,506,Secretary of State,,IND,Dan Schnur,9
Ventura,506,Secretary of State,,REP,Pete Peterson,46
Ventura,506,Secretary of State,,REP,Roy Allmond,6
Ventura,518,Secretary of State,,DEM,Alex Padilla,0
Ventura,518,Secretary of State,,DEM,Derek Cressman,1
Ventura,518,Secretary of State,,DEM,Jeffrey Drobman,0
Ventura,518,Secretary of State,,DEM,Leland Yee,0
Ventura,518,Secretary of State,,GRN,David Curtis,0
Ventura,518,Secretary of State,,IND,Dan Schnur,0
Ventura,518,Secretary of State,,REP,Pete Peterson,1
Ventura,518,Secretary of State,,REP,Roy Allmond,0
Ventura,550,Secretary of State,,DEM,Alex Padilla,0
Ventura,550,Secretary of State,,DEM,Derek Cressman,0
Ventura,550,Secretary of State,,DEM,Jeffrey Drobman,0
Ventura,550,Secretary of State,,DEM,Leland Yee,0
Ventura,550,Secretary of State,,GRN,David Curtis,0
Ventura,550,Secretary of State,,IND,Dan Schnur,0
Ventura,550,Secretary of State,,REP,Pete Peterson,8
Ventura,550,Secretary of State,,REP,Roy Allmond,0
Ventura,552,Secretary of State,,DEM,Alex Padilla,0
Ventura,552,Secretary of State,,DEM,Derek Cressman,0
Ventura,552,Secretary of State,,DEM,Jeffrey Drobman,0
Ventura,552,Secretary of State,,DEM,Leland Yee,0
Ventura,552,Secretary of State,,GRN,David Curtis,0
Ventura,552,Secretary of State,,IND,Dan Schnur,0
Ventura,552,Secretary of State,,REP,Pete Peterson,4
Ventura,552,Secretary of State,,REP,Roy Allmond,0
Ventura,568,Secretary of State,,DEM,Alex Padilla,1
Ventura,568,Secretary of State,,DEM,Derek Cressman,0
Ventura,568,Secretary of State,,DEM,Jeffrey Drobman,1
Ventura,568,Secretary of State,,DEM,Leland Yee,0
Ventura,568,Secretary of State,,GRN,David Curtis,0
Ventura,568,Secretary of State,,IND,Dan Schnur,1
Ventura,568,Secretary of State,,REP,Pete Peterson,6
Ventura,568,Secretary of State,,REP,Roy Allmond,0
Ventura,600,Secretary of State,,DEM,Alex Padilla,0
Ventura,600,Secretary of State,,DEM,Derek Cressman,0
Ventura,600,Secretary of State,,DEM,Jeffrey Drobman,0
Ventura,600,Secretary of State,,DEM,Leland Yee,0
Ventura,600,Secretary of State,,GRN,David Curtis,0
Ventura,600,Secretary of State,,IND,Dan Schnur,0
Ventura,600,Secretary of State,,REP,Pete Peterson,0
Ventura,600,Secretary of State,,REP,Roy Allmond,0
Ventura,700,Secretary of State,,DEM,Alex Padilla,54
Ventura,700,Secretary of State,,DEM,Derek Cressman,18
Ventura,700,Secretary of State,,DEM,Jeffrey Drobman,11
Ventura,700,Secretary of State,,DEM,Leland Yee,4
Ventura,700,Secretary of State,,GRN,David Curtis,3
Ventura,700,Secretary of State,,IND,Dan Schnur,16
Ventura,700,Secretary of State,,REP,Pete Peterson,76
Ventura,700,Secretary of State,,REP,Roy Allmond,14
Ventura,702,Secretary of State,,DEM,Alex Padilla,55
Ventura,702,Secretary of State,,DEM,Derek Cressman,3
Ventura,702,Secretary of State,,DEM,Jeffrey Drobman,5
Ventura,702,Secretary of State,,DEM,Leland Yee,15
Ventura,702,Secretary of State,,GRN,David Curtis,1
Ventura,702,Secretary of State,,IND,Dan Schnur,21
Ventura,702,Secretary of State,,REP,Pete Peterson,94
Ventura,702,Secretary of State,,REP,Roy Allmond,8
Ventura,704,Secretary of State,,DEM,Alex Padilla,50
Ventura,704,Secretary of State,,DEM,Derek Cressman,7
Ventura,704,Secretary of State,,DEM,Jeffrey Drobman,6
Ventura,704,Secretary of State,,DEM,Leland Yee,9
Ventura,704,Secretary of State,,GRN,David Curtis,2
Ventura,704,Secretary of State,,IND,Dan Schnur,15
Ventura,704,Secretary of State,,REP,Pete Peterson,80
Ventura,704,Secretary of State,,REP,Roy Allmond,18
Ventura,706,Secretary of State,,DEM,Alex Padilla,50
Ventura,706,Secretary of State,,DEM,Derek Cressman,3
Ventura,706,Secretary of State,,DEM,Jeffrey Drobman,7
Ventura,706,Secretary of State,,DEM,Leland Yee,10
Ventura,706,Secretary of State,,GRN,David Curtis,7
Ventura,706,Secretary of State,,IND,Dan Schnur,36
Ventura,706,Secretary of State,,REP,Pete Peterson,79
Ventura,706,Secretary of State,,REP,Roy Allmond,12
Ventura,708,Secretary of State,,DEM,Alex Padilla,90
Ventura,708,Secretary of State,,DEM,Derek Cressman,17
Ventura,708,Secretary of State,,DEM,Jeffrey Drobman,22
Ventura,708,Secretary of State,,DEM,Leland Yee,23
Ventura,708,Secretary of State,,GRN,David Curtis,10
Ventura,708,Secretary of State,,IND,Dan Schnur,29
Ventura,708,Secretary of State,,REP,Pete Peterson,109
Ventura,708,Secretary of State,,REP,Roy Allmond,20
Ventura,710,Secretary of State,,DEM,Alex Padilla,92
