county,precinct,office,district,party,candidate,votes
Amador,AV101,U.S. House,4,REP,Arthur Moore,120
Amador,AV101,U.S. House,4,REP,Tom McClintock,198
Amador,AV102,U.S. House,4,REP,Arthur Moore,90
Amador,AV102,U.S. House,4,REP,Tom McClintock,191
Amador,AV103,U.S. House,4,REP,Arthur Moore,87
Amador,AV103,U.S. House,4,REP,Tom McClintock,144
Amador,AV104,U.S. House,4,REP,Arthur Moore,139
Amador,AV104,U.S. House,4,REP,Tom McClintock,245
Amador,AV105,U.S. House,4,REP,Arthur Moore,71
Amador,AV105,U.S. House,4,REP,Tom McClintock,140
Amador,AV106,U.S. House,4,REP,Arthur Moore,176
Amador,AV106,U.S. House,4,REP,Tom McClintock,350
Amador,AV107,U.S. House,4,REP,Arthur Moore,83
Amador,AV107,U.S. House,4,REP,Tom McClintock,179
Amador,AV108,U.S. House,4,REP,Arthur Moore,24
Amador,AV108,U.S. House,4,REP,Tom McClintock,64
Amador,AV109,U.S. House,4,REP,Arthur Moore,28
Amador,AV109,U.S. House,4,REP,Tom McClintock,93
Amador,AV110,U.S. House,4,REP,Arthur Moore,68
Amador,AV110,U.S. House,4,REP,Tom McClintock,132
Amador,AV111,U.S. House,4,REP,Arthur Moore,17
Amador,AV111,U.S. House,4,REP,Tom McClintock,19
Amador,AV112,U.S. House,4,REP,Arthur Moore,52
Amador,AV112,U.S. House,4,REP,Tom McClintock,90
Amador,AV112V,U.S. House,4,REP,Arthur Moore,4
Amador,AV112V,U.S. House,4,REP,Tom McClintock,6
Amador,AV113,U.S. House,4,REP,Arthur Moore,95
Amador,AV113,U.S. House,4,REP,Tom McClintock,174
Amador,AV114,U.S. House,4,REP,Arthur Moore,113
Amador,AV114,U.S. House,4,REP,Tom McClintock,180
Amador,AV115,U.S. House,4,REP,Arthur Moore,201
Amador,AV115,U.S. House,4,REP,Tom McClintock,307
Amador,AV116,U.S. House,4,REP,Arthur Moore,95
Amador,AV116,U.S. House,4,REP,Tom McClintock,182
Amador,AV117,U.S. House,4,REP,Arthur Moore,94
Amador,AV117,U.S. House,4,REP,Tom McClintock,141
Amador,AV118,U.S. House,4,REP,Arthur Moore,157
Amador,AV118,U.S. House,4,REP,Tom McClintock,172
Amador,AV119,U.S. House,4,REP,Arthur Moore,114
Amador,AV119,U.S. House,4,REP,Tom McClintock,244
Amador,AV120,U.S. House,4,REP,Arthur Moore,81
Amador,AV120,U.S. House,4,REP,Tom McClintock,166
Amador,AV121,U.S. House,4,REP,Arthur Moore,102
Amador,AV121,U.S. House,4,REP,Tom McClintock,255
Amador,AV122,U.S. House,4,REP,Arthur Moore,37
Amador,AV122,U.S. House,4,REP,Tom McClintock,72
Amador,AV123,U.S. House,4,REP,Arthur Moore,185
Amador,AV123,U.S. House,4,REP,Tom McClintock,271
Amador,AV125,U.S. House,4,REP,Arthur Moore,77
Amador,AV125,U.S. House,4,REP,Tom McClintock,136
Amador,AV126,U.S. House,4,REP,Arthur Moore,78
Amador,AV126,U.S. House,4,REP,Tom McClintock,119
Amador,AV127,U.S. House,4,REP,Arthur Moore,78
Amador,AV127,U.S. House,4,REP,Tom McClintock,141
Amador,AV128,U.S. House,4,REP,Arthur Moore,75
Amador,AV128,U.S. House,4,REP,Tom McClintock,125
Amador,AV129,U.S. House,4,REP,Arthur Moore,81
Amador,AV129,U.S. House,4,REP,Tom McClintock,109
Amador,AV130,U.S. House,4,REP,Arthur Moore,89
Amador,AV130,U.S. House,4,REP,Tom McClintock,212
Amador,CP01,U.S. House,4,REP,Arthur Moore,51
Amador,CP01,U.S. House,4,REP,Tom McClintock,133
Amador,CP02,U.S. House,4,REP,Arthur Moore,70
Amador,CP02,U.S. House,4,REP,Tom McClintock,114
Amador,CP03,U.S. House,4,REP,Arthur Moore,31
Amador,CP03,U.S. House,4,REP,Tom McClintock,56
Amador,CP04,U.S. House,4,REP,Arthur Moore,40
Amador,CP04,U.S. House,4,REP,Tom McClintock,121
Amador,CP05,U.S. House,4,REP,Arthur Moore,29
Amador,CP05,U.S. House,4,REP,Tom McClintock,56
Amador,CP06,U.S. House,4,REP,Arthur Moore,74
Amador,CP06,U.S. House,4,REP,Tom McClintock,184
Amador,CP07,U.S. House,4,REP,Arthur Moore,41
Amador,CP07,U.S. House,4,REP,Tom McClintock,122
Amador,CP08,U.S. House,4,REP,Arthur Moore,2
Amador,CP08,U.S. House,4,REP,Tom McClintock,33
Amador,CP09,U.S. House,4,REP,Arthur Moore,25
Amador,CP09,U.S. House,4,REP,Tom McClintock,68
Amador,CP10,U.S. House,4,REP,Arthur Moore,38
Amador,CP10,U.S. House,4,REP,Tom McClintock,87
Amador,CP11,U.S. House,4,REP,Arthur Moore,12
Amador,CP11,U.S. House,4,REP,Tom McClintock,21
Amador,CP12,U.S. House,4,REP,Arthur Moore,21
Amador,CP12,U.S. House,4,REP,Tom McClintock,62
Amador,CP12V,U.S. House,4,REP,Arthur Moore,14
Amador,CP12V,U.S. House,4,REP,Tom McClintock,10
Amador,CP13,U.S. House,4,REP,Arthur Moore,44
Amador,CP13,U.S. House,4,REP,Tom McClintock,99
Amador,CP14,U.S. House,4,REP,Arthur Moore,50
Amador,CP14,U.S. House,4,REP,Tom McClintock,132
Amador,CP15,U.S. House,4,REP,Arthur Moore,87
Amador,CP15,U.S. House,4,REP,Tom McClintock,170
Amador,CP16,U.S. House,4,REP,Arthur Moore,32
Amador,CP16,U.S. House,4,REP,Tom McClintock,91
Amador,CP17,U.S. House,4,REP,Arthur Moore,36
Amador,CP17,U.S. House,4,REP,Tom McClintock,76
Amador,CP18,U.S. House,4,REP,Arthur Moore,74
Amador,CP18,U.S. House,4,REP,Tom McClintock,112
Amador,CP19,U.S. House,4,REP,Arthur Moore,57
Amador,CP19,U.S. House,4,REP,Tom McClintock,147
Amador,CP20,U.S. House,4,REP,Arthur Moore,34
Amador,CP20,U.S. House,4,REP,Tom McClintock,83
Amador,CP21,U.S. House,4,REP,Arthur Moore,61
Amador,CP21,U.S. House,4,REP,Tom McClintock,139
Amador,CP22,U.S. House,4,REP,Arthur Moore,35
Amador,CP22,U.S. House,4,REP,Tom McClintock,70
Amador,CP23,U.S. House,4,REP,Arthur Moore,56
Amador,CP23,U.S. House,4,REP,Tom McClintock,118
Amador,CP25,U.S. House,4,REP,Arthur Moore,40
Amador,CP25,U.S. House,4,REP,Tom McClintock,94
Amador,CP26,U.S. House,4,REP,Arthur Moore,41
Amador,CP26,U.S. House,4,REP,Tom McClintock,74
Amador,CP27,U.S. House,4,REP,Arthur Moore,34
Amador,CP27,U.S. House,4,REP,Tom McClintock,87
Amador,CP28,U.S. House,4,REP,Arthur Moore,47
Amador,CP28,U.S. House,4,REP,Tom McClintock,98
Amador,CP29,U.S. House,4,REP,Arthur Moore,24
Amador,CP29,U.S. House,4,REP,Tom McClintock,74
Amador,CP30,U.S. House,4,REP,Arthur Moore,46
Amador,CP30,U.S. House,4,REP,Tom McClintock,115
Amador,CP83,U.S. House,4,REP,Arthur Moore,16
Amador,CP83,U.S. House,4,REP,Tom McClintock,15
