county,precinct,office,district,party,candidate,votes
Colusa,105,U.S. House,3,DEM,John Garamendi,120
Colusa,105,U.S. House,3,REP,Dan Logue,304
Colusa,106,U.S. House,3,DEM,John Garamendi,158
Colusa,106,U.S. House,3,REP,Dan Logue,240
Colusa,202,U.S. House,3,DEM,John Garamendi,33
Colusa,202,U.S. House,3,REP,Dan Logue,94
Colusa,203,U.S. House,3,DEM,John Garamendi,27
Colusa,203,U.S. House,3,REP,Dan Logue,55
Colusa,213,U.S. House,3,DEM,John Garamendi,159
Colusa,213,U.S. House,3,REP,Dan Logue,193
Colusa,214,U.S. House,3,DEM,John Garamendi,112
Colusa,214,U.S. House,3,REP,Dan Logue,225
Colusa,301,U.S. House,3,DEM,John Garamendi,58
Colusa,301,U.S. House,3,REP,Dan Logue,178
Colusa,323,U.S. House,3,DEM,John Garamendi,126
Colusa,323,U.S. House,3,REP,Dan Logue,117
Colusa,324,U.S. House,3,DEM,John Garamendi,121
Colusa,324,U.S. House,3,REP,Dan Logue,91
Colusa,401,U.S. House,3,DEM,John Garamendi,106
Colusa,401,U.S. House,3,REP,Dan Logue,331
Colusa,405,U.S. House,3,DEM,John Garamendi,23
Colusa,405,U.S. House,3,REP,Dan Logue,56
Colusa,406,U.S. House,3,DEM,John Garamendi,35
Colusa,406,U.S. House,3,REP,Dan Logue,56
Colusa,407,U.S. House,3,DEM,John Garamendi,18
Colusa,407,U.S. House,3,REP,Dan Logue,24
Colusa,427,U.S. House,3,DEM,John Garamendi,80
Colusa,427,U.S. House,3,REP,Dan Logue,34
Colusa,500,U.S. House,3,DEM,John Garamendi,93
Colusa,500,U.S. House,3,REP,Dan Logue,205
Colusa,505,U.S. House,3,DEM,John Garamendi,22
Colusa,505,U.S. House,3,REP,Dan Logue,85
Colusa,512,U.S. House,3,DEM,John Garamendi,114
Colusa,512,U.S. House,3,REP,Dan Logue,127
Colusa,513,U.S. House,3,DEM,John Garamendi,112
Colusa,513,U.S. House,3,REP,Dan Logue,218
