county,precinct,office,district,party,candidate,votes
Santa Cruz,10020,Attorney General,,DEM,Kamala D. Harris,456
Santa Cruz,10020,Attorney General,,REP,Ronald Gold,120
Santa Cruz,10060,Attorney General,,DEM,Kamala D. Harris,443
Santa Cruz,10060,Attorney General,,REP,Ronald Gold,97
Santa Cruz,10080,Attorney General,,DEM,Kamala D. Harris,384
Santa Cruz,10080,Attorney General,,REP,Ronald Gold,94
Santa Cruz,10090,Attorney General,,DEM,Kamala D. Harris,357
Santa Cruz,10090,Attorney General,,REP,Ronald Gold,83
Santa Cruz,10100,Attorney General,,DEM,Kamala D. Harris,438
Santa Cruz,10100,Attorney General,,REP,Ronald Gold,118
Santa Cruz,10110,Attorney General,,DEM,Kamala D. Harris,372
Santa Cruz,10110,Attorney General,,REP,Ronald Gold,121
Santa Cruz,10130,Attorney General,,DEM,Kamala D. Harris,572
Santa Cruz,10130,Attorney General,,REP,Ronald Gold,176
Santa Cruz,10141,Attorney General,,DEM,Kamala D. Harris,76
Santa Cruz,10141,Attorney General,,REP,Ronald Gold,32
Santa Cruz,10144,Attorney General,,DEM,Kamala D. Harris,452
Santa Cruz,10144,Attorney General,,REP,Ronald Gold,141
Santa Cruz,10151,Attorney General,,DEM,Kamala D. Harris,11
Santa Cruz,10151,Attorney General,,REP,Ronald Gold,4
Santa Cruz,10161,Attorney General,,DEM,Kamala D. Harris,211
Santa Cruz,10161,Attorney General,,REP,Ronald Gold,102
Santa Cruz,10162,Attorney General,,DEM,Kamala D. Harris,38
Santa Cruz,10162,Attorney General,,REP,Ronald Gold,16
Santa Cruz,10163,Attorney General,,DEM,Kamala D. Harris,7
Santa Cruz,10163,Attorney General,,REP,Ronald Gold,0
Santa Cruz,10164,Attorney General,,DEM,Kamala D. Harris,110
Santa Cruz,10164,Attorney General,,REP,Ronald Gold,44
Santa Cruz,10170,Attorney General,,DEM,Kamala D. Harris,386
Santa Cruz,10170,Attorney General,,REP,Ronald Gold,107
Santa Cruz,10200,Attorney General,,DEM,Kamala D. Harris,384
Santa Cruz,10200,Attorney General,,REP,Ronald Gold,101
Santa Cruz,10201,Attorney General,,DEM,Kamala D. Harris,166
Santa Cruz,10201,Attorney General,,REP,Ronald Gold,92
Santa Cruz,10220,Attorney General,,DEM,Kamala D. Harris,372
Santa Cruz,10220,Attorney General,,REP,Ronald Gold,65
Santa Cruz,10231,Attorney General,,DEM,Kamala D. Harris,59
Santa Cruz,10231,Attorney General,,REP,Ronald Gold,38
Santa Cruz,10232,Attorney General,,DEM,Kamala D. Harris,2
Santa Cruz,10232,Attorney General,,REP,Ronald Gold,0
Santa Cruz,10236,Attorney General,,DEM,Kamala D. Harris,13
Santa Cruz,10236,Attorney General,,REP,Ronald Gold,5
Santa Cruz,10240,Attorney General,,DEM,Kamala D. Harris,251
Santa Cruz,10240,Attorney General,,REP,Ronald Gold,70
Santa Cruz,10260,Attorney General,,DEM,Kamala D. Harris,143
Santa Cruz,10260,Attorney General,,REP,Ronald Gold,35
Santa Cruz,10270,Attorney General,,DEM,Kamala D. Harris,332
Santa Cruz,10270,Attorney General,,REP,Ronald Gold,102
Santa Cruz,10281,Attorney General,,DEM,Kamala D. Harris,287
Santa Cruz,10281,Attorney General,,REP,Ronald Gold,110
Santa Cruz,10283,Attorney General,,DEM,Kamala D. Harris,103
Santa Cruz,10283,Attorney General,,REP,Ronald Gold,46
Santa Cruz,10291,Attorney General,,DEM,Kamala D. Harris,52
Santa Cruz,10291,Attorney General,,REP,Ronald Gold,27
Santa Cruz,10292,Attorney General,,DEM,Kamala D. Harris,5
Santa Cruz,10292,Attorney General,,REP,Ronald Gold,0
Santa Cruz,10294,Attorney General,,DEM,Kamala D. Harris,438
Santa Cruz,10294,Attorney General,,REP,Ronald Gold,195
Santa Cruz,10295,Attorney General,,DEM,Kamala D. Harris,4
Santa Cruz,10295,Attorney General,,REP,Ronald Gold,3
Santa Cruz,10310,Attorney General,,DEM,Kamala D. Harris,447
Santa Cruz,10310,Attorney General,,REP,Ronald Gold,97
Santa Cruz,10351,Attorney General,,DEM,Kamala D. Harris,296
Santa Cruz,10351,Attorney General,,REP,Ronald Gold,118
Santa Cruz,10352,Attorney General,,DEM,Kamala D. Harris,121
Santa Cruz,10352,Attorney General,,REP,Ronald Gold,37
Santa Cruz,10381,Attorney General,,DEM,Kamala D. Harris,467
Santa Cruz,10381,Attorney General,,REP,Ronald Gold,245
Santa Cruz,10382,Attorney General,,DEM,Kamala D. Harris,27
Santa Cruz,10382,Attorney General,,REP,Ronald Gold,10
Santa Cruz,10401,Attorney General,,DEM,Kamala D. Harris,371
Santa Cruz,10401,Attorney General,,REP,Ronald Gold,61
Santa Cruz,10442,Attorney General,,DEM,Kamala D. Harris,12
Santa Cruz,10442,Attorney General,,REP,Ronald Gold,6
Santa Cruz,10455,Attorney General,,DEM,Kamala D. Harris,12
Santa Cruz,10455,Attorney General,,REP,Ronald Gold,18
Santa Cruz,10490,Attorney General,,DEM,Kamala D. Harris,200
Santa Cruz,10490,Attorney General,,REP,Ronald Gold,68
Santa Cruz,10541,Attorney General,,DEM,Kamala D. Harris,48
Santa Cruz,10541,Attorney General,,REP,Ronald Gold,43
Santa Cruz,10542,Attorney General,,DEM,Kamala D. Harris,6
Santa Cruz,10542,Attorney General,,REP,Ronald Gold,0
Santa Cruz,10543,Attorney General,,DEM,Kamala D. Harris,4
Santa Cruz,10543,Attorney General,,REP,Ronald Gold,4
Santa Cruz,10551,Attorney General,,DEM,Kamala D. Harris,2
Santa Cruz,10551,Attorney General,,REP,Ronald Gold,2
Santa Cruz,10552,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,10552,Attorney General,,REP,Ronald Gold,0
Santa Cruz,10572,Attorney General,,DEM,Kamala D. Harris,16
Santa Cruz,10572,Attorney General,,REP,Ronald Gold,12
Santa Cruz,10581,Attorney General,,DEM,Kamala D. Harris,41
Santa Cruz,10581,Attorney General,,REP,Ronald Gold,21
Santa Cruz,10603,Attorney General,,DEM,Kamala D. Harris,407
Santa Cruz,10603,Attorney General,,REP,Ronald Gold,141
Santa Cruz,10620,Attorney General,,DEM,Kamala D. Harris,424
Santa Cruz,10620,Attorney General,,REP,Ronald Gold,140
Santa Cruz,10763,Attorney General,,DEM,Kamala D. Harris,125
Santa Cruz,10763,Attorney General,,REP,Ronald Gold,51
Santa Cruz,11010,Attorney General,,DEM,Kamala D. Harris,571
Santa Cruz,11010,Attorney General,,REP,Ronald Gold,197
Santa Cruz,11120,Attorney General,,DEM,Kamala D. Harris,365
Santa Cruz,11120,Attorney General,,REP,Ronald Gold,145
Santa Cruz,12010,Attorney General,,DEM,Kamala D. Harris,41
Santa Cruz,12010,Attorney General,,REP,Ronald Gold,12
Santa Cruz,12021,Attorney General,,DEM,Kamala D. Harris,48
Santa Cruz,12021,Attorney General,,REP,Ronald Gold,10
Santa Cruz,12023,Attorney General,,DEM,Kamala D. Harris,25
Santa Cruz,12023,Attorney General,,REP,Ronald Gold,12
Santa Cruz,12024,Attorney General,,DEM,Kamala D. Harris,7
Santa Cruz,12024,Attorney General,,REP,Ronald Gold,3
Santa Cruz,12030,Attorney General,,DEM,Kamala D. Harris,128
Santa Cruz,12030,Attorney General,,REP,Ronald Gold,40
Santa Cruz,12040,Attorney General,,DEM,Kamala D. Harris,522
Santa Cruz,12040,Attorney General,,REP,Ronald Gold,151
Santa Cruz,14110,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,14110,Attorney General,,REP,Ronald Gold,0
Santa Cruz,14121,Attorney General,,DEM,Kamala D. Harris,403
Santa Cruz,14121,Attorney General,,REP,Ronald Gold,253
Santa Cruz,14123,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,14123,Attorney General,,REP,Ronald Gold,0
Santa Cruz,14141,Attorney General,,DEM,Kamala D. Harris,32
Santa Cruz,14141,Attorney General,,REP,Ronald Gold,31
Santa Cruz,20011,Attorney General,,DEM,Kamala D. Harris,338
Santa Cruz,20011,Attorney General,,REP,Ronald Gold,108
Santa Cruz,20013,Attorney General,,DEM,Kamala D. Harris,111
Santa Cruz,20013,Attorney General,,REP,Ronald Gold,58
Santa Cruz,20020,Attorney General,,DEM,Kamala D. Harris,360
Santa Cruz,20020,Attorney General,,REP,Ronald Gold,176
Santa Cruz,20041,Attorney General,,DEM,Kamala D. Harris,343
Santa Cruz,20041,Attorney General,,REP,Ronald Gold,187
Santa Cruz,20061,Attorney General,,DEM,Kamala D. Harris,246
Santa Cruz,20061,Attorney General,,REP,Ronald Gold,141
Santa Cruz,20091,Attorney General,,DEM,Kamala D. Harris,298
Santa Cruz,20091,Attorney General,,REP,Ronald Gold,183
Santa Cruz,20093,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,20093,Attorney General,,REP,Ronald Gold,1
Santa Cruz,20101,Attorney General,,DEM,Kamala D. Harris,307
Santa Cruz,20101,Attorney General,,REP,Ronald Gold,188
Santa Cruz,20102,Attorney General,,DEM,Kamala D. Harris,7
Santa Cruz,20102,Attorney General,,REP,Ronald Gold,0
Santa Cruz,20150,Attorney General,,DEM,Kamala D. Harris,238
Santa Cruz,20150,Attorney General,,REP,Ronald Gold,74
Santa Cruz,20221,Attorney General,,DEM,Kamala D. Harris,462
Santa Cruz,20221,Attorney General,,REP,Ronald Gold,159
Santa Cruz,20222,Attorney General,,DEM,Kamala D. Harris,2
Santa Cruz,20222,Attorney General,,REP,Ronald Gold,0
Santa Cruz,20231,Attorney General,,DEM,Kamala D. Harris,28
Santa Cruz,20231,Attorney General,,REP,Ronald Gold,7
Santa Cruz,20232,Attorney General,,DEM,Kamala D. Harris,474
Santa Cruz,20232,Attorney General,,REP,Ronald Gold,183
Santa Cruz,20241,Attorney General,,DEM,Kamala D. Harris,513
Santa Cruz,20241,Attorney General,,REP,Ronald Gold,184
Santa Cruz,20243,Attorney General,,DEM,Kamala D. Harris,221
Santa Cruz,20243,Attorney General,,REP,Ronald Gold,86
Santa Cruz,20244,Attorney General,,DEM,Kamala D. Harris,48
Santa Cruz,20244,Attorney General,,REP,Ronald Gold,14
Santa Cruz,20247,Attorney General,,DEM,Kamala D. Harris,7
Santa Cruz,20247,Attorney General,,REP,Ronald Gold,5
Santa Cruz,20251,Attorney General,,DEM,Kamala D. Harris,364
Santa Cruz,20251,Attorney General,,REP,Ronald Gold,142
Santa Cruz,20260,Attorney General,,DEM,Kamala D. Harris,436
Santa Cruz,20260,Attorney General,,REP,Ronald Gold,130
Santa Cruz,20290,Attorney General,,DEM,Kamala D. Harris,333
Santa Cruz,20290,Attorney General,,REP,Ronald Gold,93
Santa Cruz,20300,Attorney General,,DEM,Kamala D. Harris,467
Santa Cruz,20300,Attorney General,,REP,Ronald Gold,173
Santa Cruz,20320,Attorney General,,DEM,Kamala D. Harris,558
Santa Cruz,20320,Attorney General,,REP,Ronald Gold,247
Santa Cruz,20330,Attorney General,,DEM,Kamala D. Harris,496
Santa Cruz,20330,Attorney General,,REP,Ronald Gold,181
Santa Cruz,20351,Attorney General,,DEM,Kamala D. Harris,520
Santa Cruz,20351,Attorney General,,REP,Ronald Gold,147
Santa Cruz,20352,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,20352,Attorney General,,REP,Ronald Gold,1
Santa Cruz,20354,Attorney General,,DEM,Kamala D. Harris,358
Santa Cruz,20354,Attorney General,,REP,Ronald Gold,221
Santa Cruz,20371,Attorney General,,DEM,Kamala D. Harris,135
Santa Cruz,20371,Attorney General,,REP,Ronald Gold,100
Santa Cruz,20381,Attorney General,,DEM,Kamala D. Harris,50
Santa Cruz,20381,Attorney General,,REP,Ronald Gold,28
Santa Cruz,20382,Attorney General,,DEM,Kamala D. Harris,21
Santa Cruz,20382,Attorney General,,REP,Ronald Gold,10
Santa Cruz,20402,Attorney General,,DEM,Kamala D. Harris,376
Santa Cruz,20402,Attorney General,,REP,Ronald Gold,152
Santa Cruz,20520,Attorney General,,DEM,Kamala D. Harris,449
Santa Cruz,20520,Attorney General,,REP,Ronald Gold,259
Santa Cruz,20551,Attorney General,,DEM,Kamala D. Harris,427
Santa Cruz,20551,Attorney General,,REP,Ronald Gold,210
Santa Cruz,20591,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,20591,Attorney General,,REP,Ronald Gold,0
Santa Cruz,20592,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,20592,Attorney General,,REP,Ronald Gold,0
Santa Cruz,20611,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,20611,Attorney General,,REP,Ronald Gold,0
Santa Cruz,20622,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,20622,Attorney General,,REP,Ronald Gold,0
Santa Cruz,20690,Attorney General,,DEM,Kamala D. Harris,56
Santa Cruz,20690,Attorney General,,REP,Ronald Gold,13
Santa Cruz,22010,Attorney General,,DEM,Kamala D. Harris,443
Santa Cruz,22010,Attorney General,,REP,Ronald Gold,164
Santa Cruz,22040,Attorney General,,DEM,Kamala D. Harris,351
Santa Cruz,22040,Attorney General,,REP,Ronald Gold,134
Santa Cruz,22050,Attorney General,,DEM,Kamala D. Harris,630
Santa Cruz,22050,Attorney General,,REP,Ronald Gold,198
Santa Cruz,23190,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,23190,Attorney General,,REP,Ronald Gold,0
Santa Cruz,23311,Attorney General,,DEM,Kamala D. Harris,362
Santa Cruz,23311,Attorney General,,REP,Ronald Gold,95
Santa Cruz,23312,Attorney General,,DEM,Kamala D. Harris,276
Santa Cruz,23312,Attorney General,,REP,Ronald Gold,70
Santa Cruz,23410,Attorney General,,DEM,Kamala D. Harris,99
Santa Cruz,23410,Attorney General,,REP,Ronald Gold,33
Santa Cruz,23492,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,23492,Attorney General,,REP,Ronald Gold,0
Santa Cruz,23660,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,23660,Attorney General,,REP,Ronald Gold,0
Santa Cruz,30010,Attorney General,,DEM,Kamala D. Harris,99
Santa Cruz,30010,Attorney General,,REP,Ronald Gold,21
Santa Cruz,30020,Attorney General,,DEM,Kamala D. Harris,203
Santa Cruz,30020,Attorney General,,REP,Ronald Gold,50
Santa Cruz,30030,Attorney General,,DEM,Kamala D. Harris,397
Santa Cruz,30030,Attorney General,,REP,Ronald Gold,103
Santa Cruz,30041,Attorney General,,DEM,Kamala D. Harris,543
Santa Cruz,30041,Attorney General,,REP,Ronald Gold,141
Santa Cruz,30042,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,30042,Attorney General,,REP,Ronald Gold,1
Santa Cruz,30044,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,30044,Attorney General,,REP,Ronald Gold,0
Santa Cruz,30046,Attorney General,,DEM,Kamala D. Harris,9
Santa Cruz,30046,Attorney General,,REP,Ronald Gold,0
Santa Cruz,30051,Attorney General,,DEM,Kamala D. Harris,8
Santa Cruz,30051,Attorney General,,REP,Ronald Gold,5
Santa Cruz,30052,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,30052,Attorney General,,REP,Ronald Gold,0
Santa Cruz,30072,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,30072,Attorney General,,REP,Ronald Gold,0
Santa Cruz,30076,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,30076,Attorney General,,REP,Ronald Gold,1
Santa Cruz,30080,Attorney General,,DEM,Kamala D. Harris,148
Santa Cruz,30080,Attorney General,,REP,Ronald Gold,34
Santa Cruz,30121,Attorney General,,DEM,Kamala D. Harris,4
Santa Cruz,30121,Attorney General,,REP,Ronald Gold,0
Santa Cruz,31010,Attorney General,,DEM,Kamala D. Harris,502
Santa Cruz,31010,Attorney General,,REP,Ronald Gold,68
Santa Cruz,31011,Attorney General,,DEM,Kamala D. Harris,195
Santa Cruz,31011,Attorney General,,REP,Ronald Gold,45
Santa Cruz,31012,Attorney General,,DEM,Kamala D. Harris,0
Santa Cruz,31012,Attorney General,,REP,Ronald Gold,0
Santa Cruz,31013,Attorney General,,DEM,Kamala D. Harris,500
Santa Cruz,31013,Attorney General,,REP,Ronald Gold,96
Santa Cruz,31020,Attorney General,,DEM,Kamala D. Harris,397
Santa Cruz,31020,Attorney General,,REP,Ronald Gold,57
Santa Cruz,31030,Attorney General,,DEM,Kamala D. Harris,553
Santa Cruz,31030,Attorney General,,REP,Ronald Gold,88
Santa Cruz,31050,Attorney General,,DEM,Kamala D. Harris,494
Santa Cruz,31050,Attorney General,,REP,Ronald Gold,135
Santa Cruz,31070,Attorney General,,DEM,Kamala D. Harris,538
Santa Cruz,31070,Attorney General,,REP,Ronald Gold,67
Santa Cruz,31132,Attorney General,,DEM,Kamala D. Harris,361
Santa Cruz,31132,Attorney General,,REP,Ronald Gold,93
Santa Cruz,31140,Attorney General,,DEM,Kamala D. Harris,519
Santa Cruz,31140,Attorney General,,REP,Ronald Gold,63
Santa Cruz,31150,Attorney General,,DEM,Kamala D. Harris,465
