county,precinct,office,district,party,candidate,votes
Sonoma,1001,Attorney General,,DEM,Kamala D. Harris,109
Sonoma,1001,Attorney General,,REP,Ronald Gold,51
Sonoma,1001,Board of Equalization,2,DEM,Fiona Ma,105
Sonoma,1001,Board of Equalization,2,REP,James E. Theis,46
Sonoma,1001,Controller,,REP,Ashley Swearengin,53
Sonoma,1001,Controller,,DEM,Betty T. Yee,102
Sonoma,1001,Governor,,DEM,Edmund G. Brown,120
Sonoma,1001,Governor,,REP,Neel Kashkari,43
Sonoma,1001,Insurance Commissioner,,DEM,Dave Jones,103
Sonoma,1001,Insurance Commissioner,,REP,Ted Gaines,52
Sonoma,1001,Lieutenant Governor,,DEM,Gavin Newsom,107
Sonoma,1001,Lieutenant Governor,,REP,Ron Nehring,56
Sonoma,1001,Secretary of State,,DEM,Alex Padilla,96
Sonoma,1001,Secretary of State,,REP,Pete Peterson,61
Sonoma,1001,State Assembly,2,DEM,Jim Wood,105
Sonoma,1001,State Assembly,2,REP,Matt Heath,52
Sonoma,1001,State Senate,2,REP,Lawrence R. Wiesner,48
Sonoma,1001,State Senate,2,DEM,Mike McGuire,112
Sonoma,1001,Superintendent of Public Instruction,,NOP,Marshall Tuck,55
Sonoma,1001,Superintendent of Public Instruction,,NOP,Tom Torlakson,78
Sonoma,1001,Treasurer,,REP,Greg Conlon,51
Sonoma,1001,Treasurer,,DEM,John Chiang,105
Sonoma,1001,U.S. House,5,IND,James Hinton,33
Sonoma,1001,U.S. House,5,DEM,Mike Thompson,122
Sonoma,1002,Attorney General,,DEM,Kamala D. Harris,13
Sonoma,1002,Attorney General,,REP,Ronald Gold,3
Sonoma,1002,Board of Equalization,2,DEM,Fiona Ma,12
Sonoma,1002,Board of Equalization,2,REP,James E. Theis,3
Sonoma,1002,Controller,,REP,Ashley Swearengin,4
Sonoma,1002,Controller,,DEM,Betty T. Yee,12
Sonoma,1002,Governor,,DEM,Edmund G. Brown,14
Sonoma,1002,Governor,,REP,Neel Kashkari,3
Sonoma,1002,Insurance Commissioner,,DEM,Dave Jones,13
Sonoma,1002,Insurance Commissioner,,REP,Ted Gaines,3
Sonoma,1002,Lieutenant Governor,,DEM,Gavin Newsom,14
Sonoma,1002,Lieutenant Governor,,REP,Ron Nehring,3
Sonoma,1002,Secretary of State,,DEM,Alex Padilla,12
Sonoma,1002,Secretary of State,,REP,Pete Peterson,3
Sonoma,1002,State Assembly,2,DEM,Jim Wood,13
Sonoma,1002,State Assembly,2,REP,Matt Heath,3
Sonoma,1002,State Senate,2,REP,Lawrence R. Wiesner,3
Sonoma,1002,State Senate,2,DEM,Mike McGuire,13
Sonoma,1002,Superintendent of Public Instruction,,NOP,Marshall Tuck,4
Sonoma,1002,Superintendent of Public Instruction,,NOP,Tom Torlakson,12
Sonoma,1002,Treasurer,,REP,Greg Conlon,3
Sonoma,1002,Treasurer,,DEM,John Chiang,14
Sonoma,1002,U.S. House,5,IND,James Hinton,6
Sonoma,1002,U.S. House,5,DEM,Mike Thompson,10
Sonoma,1004,Attorney General,,DEM,Kamala D. Harris,20
Sonoma,1004,Attorney General,,REP,Ronald Gold,12
Sonoma,1004,Board of Equalization,2,DEM,Fiona Ma,19
Sonoma,1004,Board of Equalization,2,REP,James E. Theis,11
Sonoma,1004,Controller,,REP,Ashley Swearengin,15
Sonoma,1004,Controller,,DEM,Betty T. Yee,16
Sonoma,1004,Governor,,DEM,Edmund G. Brown,24
Sonoma,1004,Governor,,REP,Neel Kashkari,11
Sonoma,1004,Insurance Commissioner,,DEM,Dave Jones,15
Sonoma,1004,Insurance Commissioner,,REP,Ted Gaines,16
Sonoma,1004,Lieutenant Governor,,DEM,Gavin Newsom,22
Sonoma,1004,Lieutenant Governor,,REP,Ron Nehring,11
Sonoma,1004,Secretary of State,,DEM,Alex Padilla,17
Sonoma,1004,Secretary of State,,REP,Pete Peterson,16
Sonoma,1004,State Assembly,4,DEM,Bill Dodd,18
Sonoma,1004,State Assembly,4,REP,Charlie Schaupp,13
Sonoma,1004,State Senate,2,REP,Lawrence R. Wiesner,11
Sonoma,1004,State Senate,2,DEM,Mike McGuire,21
Sonoma,1004,Superintendent of Public Instruction,,NOP,Marshall Tuck,9
Sonoma,1004,Superintendent of Public Instruction,,NOP,Tom Torlakson,16
Sonoma,1004,Treasurer,,REP,Greg Conlon,15
Sonoma,1004,Treasurer,,DEM,John Chiang,18
Sonoma,1004,U.S. House,5,IND,James Hinton,8
Sonoma,1004,U.S. House,5,DEM,Mike Thompson,22
Sonoma,1006,Attorney General,,DEM,Kamala D. Harris,0
Sonoma,1006,Attorney General,,REP,Ronald Gold,0
Sonoma,1006,Board of Equalization,2,DEM,Fiona Ma,0
Sonoma,1006,Board of Equalization,2,REP,James E. Theis,0
Sonoma,1006,Controller,,REP,Ashley Swearengin,0
Sonoma,1006,Controller,,DEM,Betty T. Yee,0
Sonoma,1006,Governor,,DEM,Edmund G. Brown,0
Sonoma,1006,Governor,,REP,Neel Kashkari,0
Sonoma,1006,Insurance Commissioner,,DEM,Dave Jones,0
Sonoma,1006,Insurance Commissioner,,REP,Ted Gaines,0
Sonoma,1006,Lieutenant Governor,,DEM,Gavin Newsom,0
Sonoma,1006,Lieutenant Governor,,REP,Ron Nehring,0
Sonoma,1006,Secretary of State,,DEM,Alex Padilla,0
Sonoma,1006,Secretary of State,,REP,Pete Peterson,0
Sonoma,1006,State Assembly,2,DEM,Jim Wood,0
Sonoma,1006,State Assembly,2,REP,Matt Heath,0
Sonoma,1006,State Senate,2,REP,Lawrence R. Wiesner,0
Sonoma,1006,State Senate,2,DEM,Mike McGuire,0
Sonoma,1006,Superintendent of Public Instruction,,NOP,Marshall Tuck,0
Sonoma,1006,Superintendent of Public Instruction,,NOP,Tom Torlakson,0
Sonoma,1006,Treasurer,,REP,Greg Conlon,0
Sonoma,1006,Treasurer,,DEM,John Chiang,0
Sonoma,1006,U.S. House,5,IND,James Hinton,0
Sonoma,1006,U.S. House,5,DEM,Mike Thompson,0
Sonoma,1008,Attorney General,,DEM,Kamala D. Harris,76
Sonoma,1008,Attorney General,,REP,Ronald Gold,24
Sonoma,1008,Board of Equalization,2,DEM,Fiona Ma,76
Sonoma,1008,Board of Equalization,2,REP,James E. Theis,20
Sonoma,1008,Controller,,REP,Ashley Swearengin,23
Sonoma,1008,Controller,,DEM,Betty T. Yee,76
Sonoma,1008,Governor,,DEM,Edmund G. Brown,87
Sonoma,1008,Governor,,REP,Neel Kashkari,18
Sonoma,1008,Insurance Commissioner,,DEM,Dave Jones,78
Sonoma,1008,Insurance Commissioner,,REP,Ted Gaines,20
Sonoma,1008,Lieutenant Governor,,DEM,Gavin Newsom,77
Sonoma,1008,Lieutenant Governor,,REP,Ron Nehring,23
Sonoma,1008,Secretary of State,,DEM,Alex Padilla,73
Sonoma,1008,Secretary of State,,REP,Pete Peterson,24
Sonoma,1008,State Assembly,2,DEM,Jim Wood,76
Sonoma,1008,State Assembly,2,REP,Matt Heath,21
Sonoma,1008,State Senate,2,REP,Lawrence R. Wiesner,21
Sonoma,1008,State Senate,2,DEM,Mike McGuire,79
Sonoma,1008,Superintendent of Public Instruction,,NOP,Marshall Tuck,32
Sonoma,1008,Superintendent of Public Instruction,,NOP,Tom Torlakson,55
Sonoma,1008,Treasurer,,REP,Greg Conlon,20
Sonoma,1008,Treasurer,,DEM,John Chiang,80
Sonoma,1008,U.S. House,5,IND,James Hinton,25
Sonoma,1008,U.S. House,5,DEM,Mike Thompson,77
Sonoma,1009,Attorney General,,DEM,Kamala D. Harris,49
Sonoma,1009,Attorney General,,REP,Ronald Gold,32
Sonoma,1009,Board of Equalization,2,DEM,Fiona Ma,51
Sonoma,1009,Board of Equalization,2,REP,James E. Theis,28
Sonoma,1009,Controller,,REP,Ashley Swearengin,27
Sonoma,1009,Controller,,DEM,Betty T. Yee,52
Sonoma,1009,Governor,,DEM,Edmund G. Brown,55
Sonoma,1009,Governor,,REP,Neel Kashkari,25
Sonoma,1009,Insurance Commissioner,,DEM,Dave Jones,52
Sonoma,1009,Insurance Commissioner,,REP,Ted Gaines,28
Sonoma,1009,Lieutenant Governor,,DEM,Gavin Newsom,52
Sonoma,1009,Lieutenant Governor,,REP,Ron Nehring,28
Sonoma,1009,Secretary of State,,DEM,Alex Padilla,50
Sonoma,1009,Secretary of State,,REP,Pete Peterson,30
Sonoma,1009,State Assembly,2,DEM,Jim Wood,55
Sonoma,1009,State Assembly,2,REP,Matt Heath,23
Sonoma,1009,State Senate,2,REP,Lawrence R. Wiesner,26
Sonoma,1009,State Senate,2,DEM,Mike McGuire,55
Sonoma,1009,Superintendent of Public Instruction,,NOP,Marshall Tuck,25
Sonoma,1009,Superintendent of Public Instruction,,NOP,Tom Torlakson,41
Sonoma,1009,Treasurer,,REP,Greg Conlon,31
Sonoma,1009,Treasurer,,DEM,John Chiang,50
Sonoma,1009,U.S. House,5,IND,James Hinton,24
Sonoma,1009,U.S. House,5,DEM,Mike Thompson,56
Sonoma,1010,Attorney General,,DEM,Kamala D. Harris,68
Sonoma,1010,Attorney General,,REP,Ronald Gold,72
Sonoma,1010,Board of Equalization,2,DEM,Fiona Ma,64
Sonoma,1010,Board of Equalization,2,REP,James E. Theis,68
Sonoma,1010,Controller,,REP,Ashley Swearengin,76
Sonoma,1010,Controller,,DEM,Betty T. Yee,61
Sonoma,1010,Governor,,DEM,Edmund G. Brown,84
Sonoma,1010,Governor,,REP,Neel Kashkari,62
Sonoma,1010,Insurance Commissioner,,DEM,Dave Jones,58
Sonoma,1010,Insurance Commissioner,,REP,Ted Gaines,76
Sonoma,1010,Lieutenant Governor,,DEM,Gavin Newsom,76
Sonoma,1010,Lieutenant Governor,,REP,Ron Nehring,68
Sonoma,1010,Secretary of State,,DEM,Alex Padilla,57
Sonoma,1010,Secretary of State,,REP,Pete Peterson,83
Sonoma,1010,State Assembly,2,DEM,Jim Wood,63
Sonoma,1010,State Assembly,2,REP,Matt Heath,73
Sonoma,1010,State Senate,2,REP,Lawrence R. Wiesner,68
Sonoma,1010,State Senate,2,DEM,Mike McGuire,69
Sonoma,1010,Superintendent of Public Instruction,,NOP,Marshall Tuck,55
Sonoma,1010,Superintendent of Public Instruction,,NOP,Tom Torlakson,61
Sonoma,1010,Treasurer,,REP,Greg Conlon,76
Sonoma,1010,Treasurer,,DEM,John Chiang,61
Sonoma,1010,U.S. House,5,IND,James Hinton,55
Sonoma,1010,U.S. House,5,DEM,Mike Thompson,82
Sonoma,1011,Attorney General,,DEM,Kamala D. Harris,69
Sonoma,1011,Attorney General,,REP,Ronald Gold,65
Sonoma,1011,Board of Equalization,2,DEM,Fiona Ma,63
Sonoma,1011,Board of Equalization,2,REP,James E. Theis,70
Sonoma,1011,Controller,,REP,Ashley Swearengin,69
Sonoma,1011,Controller,,DEM,Betty T. Yee,65
Sonoma,1011,Governor,,DEM,Edmund G. Brown,82
Sonoma,1011,Governor,,REP,Neel Kashkari,53
Sonoma,1011,Insurance Commissioner,,DEM,Dave Jones,74
Sonoma,1011,Insurance Commissioner,,REP,Ted Gaines,60
Sonoma,1011,Lieutenant Governor,,DEM,Gavin Newsom,76
Sonoma,1011,Lieutenant Governor,,REP,Ron Nehring,57
Sonoma,1011,Secretary of State,,DEM,Alex Padilla,70
Sonoma,1011,Secretary of State,,REP,Pete Peterson,61
Sonoma,1011,State Assembly,2,DEM,Jim Wood,67
Sonoma,1011,State Assembly,2,REP,Matt Heath,61
Sonoma,1011,State Senate,2,REP,Lawrence R. Wiesner,53
Sonoma,1011,State Senate,2,DEM,Mike McGuire,79
Sonoma,1011,Superintendent of Public Instruction,,NOP,Marshall Tuck,43
Sonoma,1011,Superintendent of Public Instruction,,NOP,Tom Torlakson,62
Sonoma,1011,Treasurer,,REP,Greg Conlon,52
Sonoma,1011,Treasurer,,DEM,John Chiang,81
Sonoma,1011,U.S. House,5,IND,James Hinton,51
Sonoma,1011,U.S. House,5,DEM,Mike Thompson,79
Sonoma,1012,Attorney General,,DEM,Kamala D. Harris,12
Sonoma,1012,Attorney General,,REP,Ronald Gold,4
Sonoma,1012,Board of Equalization,2,DEM,Fiona Ma,10
Sonoma,1012,Board of Equalization,2,REP,James E. Theis,5
Sonoma,1012,Controller,,REP,Ashley Swearengin,5
Sonoma,1012,Controller,,DEM,Betty T. Yee,11
Sonoma,1012,Governor,,DEM,Edmund G. Brown,12
Sonoma,1012,Governor,,REP,Neel Kashkari,4
Sonoma,1012,Insurance Commissioner,,DEM,Dave Jones,12
Sonoma,1012,Insurance Commissioner,,REP,Ted Gaines,4
Sonoma,1012,Lieutenant Governor,,DEM,Gavin Newsom,12
Sonoma,1012,Lieutenant Governor,,REP,Ron Nehring,4
Sonoma,1012,Secretary of State,,DEM,Alex Padilla,11
Sonoma,1012,Secretary of State,,REP,Pete Peterson,4
Sonoma,1012,State Assembly,2,DEM,Jim Wood,10
Sonoma,1012,State Assembly,2,REP,Matt Heath,5
