county,precinct,office,district,party,candidate,votes
Kern,0011155,Superintendent of Public Instruction,,NOP,Marshall Tuck,324
Kern,0011155,Superintendent of Public Instruction,,NOP,Tom Torlakson,150
Kern,0011190,Superintendent of Public Instruction,,NOP,Marshall Tuck,400
Kern,0011190,Superintendent of Public Instruction,,NOP,Tom Torlakson,212
Kern,0011195,Superintendent of Public Instruction,,NOP,Marshall Tuck,453
Kern,0011195,Superintendent of Public Instruction,,NOP,Tom Torlakson,182
Kern,0011530,Superintendent of Public Instruction,,NOP,Marshall Tuck,170
Kern,0011530,Superintendent of Public Instruction,,NOP,Tom Torlakson,301
Kern,0011540,Superintendent of Public Instruction,,NOP,Marshall Tuck,96
Kern,0011540,Superintendent of Public Instruction,,NOP,Tom Torlakson,164
Kern,0011548,Superintendent of Public Instruction,,NOP,Marshall Tuck,226
Kern,0011548,Superintendent of Public Instruction,,NOP,Tom Torlakson,303
Kern,0011550,Superintendent of Public Instruction,,NOP,Marshall Tuck,167
Kern,0011550,Superintendent of Public Instruction,,NOP,Tom Torlakson,245
Kern,0011552,Superintendent of Public Instruction,,NOP,Marshall Tuck,164
Kern,0011552,Superintendent of Public Instruction,,NOP,Tom Torlakson,246
Kern,0011554,Superintendent of Public Instruction,,NOP,Marshall Tuck,115
Kern,0011554,Superintendent of Public Instruction,,NOP,Tom Torlakson,192
Kern,0011570,Superintendent of Public Instruction,,NOP,Marshall Tuck,103
Kern,0011570,Superintendent of Public Instruction,,NOP,Tom Torlakson,173
Kern,0011580,Superintendent of Public Instruction,,NOP,Marshall Tuck,142
Kern,0011580,Superintendent of Public Instruction,,NOP,Tom Torlakson,170
Kern,0011590,Superintendent of Public Instruction,,NOP,Marshall Tuck,116
Kern,0011590,Superintendent of Public Instruction,,NOP,Tom Torlakson,201
Kern,0011610,Superintendent of Public Instruction,,NOP,Marshall Tuck,114
Kern,0011610,Superintendent of Public Instruction,,NOP,Tom Torlakson,163
Kern,0011626,Superintendent of Public Instruction,,NOP,Marshall Tuck,163
Kern,0011626,Superintendent of Public Instruction,,NOP,Tom Torlakson,253
Kern,0011725,Superintendent of Public Instruction,,NOP,Marshall Tuck,355
Kern,0011725,Superintendent of Public Instruction,,NOP,Tom Torlakson,192
Kern,0011990,Superintendent of Public Instruction,,NOP,Marshall Tuck,220
