county,precinct,office,district,party,candidate,votes
Santa Barbara,10-1001,Controller,,DEM,Betty T. Yee,62
Santa Barbara,10-1001,Controller,,REP,Ashley Swearengin,61
Santa Barbara,10-1002,Controller,,DEM,Betty T. Yee,0
Santa Barbara,10-1002,Controller,,REP,Ashley Swearengin,0
Santa Barbara,10-1003,Controller,,DEM,Betty T. Yee,136
Santa Barbara,10-1003,Controller,,REP,Ashley Swearengin,87
Santa Barbara,10-1004,Controller,,DEM,Betty T. Yee,8
Santa Barbara,10-1004,Controller,,REP,Ashley Swearengin,6
Santa Barbara,10-1005,Controller,,DEM,Betty T. Yee,9
Santa Barbara,10-1005,Controller,,REP,Ashley Swearengin,9
Santa Barbara,10-1006,Controller,,DEM,Betty T. Yee,4
Santa Barbara,10-1006,Controller,,REP,Ashley Swearengin,3
Santa Barbara,10-1007,Controller,,DEM,Betty T. Yee,0
Santa Barbara,10-1007,Controller,,REP,Ashley Swearengin,0
Santa Barbara,10-1008,Controller,,DEM,Betty T. Yee,0
Santa Barbara,10-1008,Controller,,REP,Ashley Swearengin,0
Santa Barbara,10-1009,Controller,,DEM,Betty T. Yee,11
Santa Barbara,10-1009,Controller,,REP,Ashley Swearengin,41
Santa Barbara,10-1010,Controller,,DEM,Betty T. Yee,48
Santa Barbara,10-1010,Controller,,REP,Ashley Swearengin,110
Santa Barbara,10-1510,Controller,,DEM,Betty T. Yee,348
Santa Barbara,10-1510,Controller,,REP,Ashley Swearengin,362
Santa Barbara,10-1520,Controller,,DEM,Betty T. Yee,187
Santa Barbara,10-1520,Controller,,REP,Ashley Swearengin,187
Santa Barbara,10-1530,Controller,,DEM,Betty T. Yee,416
Santa Barbara,10-1530,Controller,,REP,Ashley Swearengin,308
Santa Barbara,10-1560,Controller,,DEM,Betty T. Yee,339
Santa Barbara,10-1560,Controller,,REP,Ashley Swearengin,319
Santa Barbara,10-1570,Controller,,DEM,Betty T. Yee,284
Santa Barbara,10-1570,Controller,,REP,Ashley Swearengin,420
Santa Barbara,10-1580,Controller,,DEM,Betty T. Yee,280
Santa Barbara,10-1580,Controller,,REP,Ashley Swearengin,397
Santa Barbara,10-1590,Controller,,DEM,Betty T. Yee,342
Santa Barbara,10-1590,Controller,,REP,Ashley Swearengin,386
Santa Barbara,10-1610,Controller,,DEM,Betty T. Yee,388
Santa Barbara,10-1610,Controller,,REP,Ashley Swearengin,337
Santa Barbara,10-1630,Controller,,DEM,Betty T. Yee,513
Santa Barbara,10-1630,Controller,,REP,Ashley Swearengin,209
Santa Barbara,10-1640,Controller,,DEM,Betty T. Yee,357
Santa Barbara,10-1640,Controller,,REP,Ashley Swearengin,143
Santa Barbara,11-1010,Controller,,DEM,Betty T. Yee,433
Santa Barbara,11-1010,Controller,,REP,Ashley Swearengin,205
Santa Barbara,11-1020,Controller,,DEM,Betty T. Yee,459
Santa Barbara,11-1020,Controller,,REP,Ashley Swearengin,285
Santa Barbara,11-1030,Controller,,DEM,Betty T. Yee,399
Santa Barbara,11-1030,Controller,,REP,Ashley Swearengin,302
Santa Barbara,11-1040,Controller,,DEM,Betty T. Yee,428
Santa Barbara,11-1040,Controller,,REP,Ashley Swearengin,190
Santa Barbara,11-1070,Controller,,DEM,Betty T. Yee,319
Santa Barbara,11-1070,Controller,,REP,Ashley Swearengin,233
Santa Barbara,11-1080,Controller,,DEM,Betty T. Yee,330
Santa Barbara,11-1080,Controller,,REP,Ashley Swearengin,255
Santa Barbara,12-1120,Controller,,DEM,Betty T. Yee,259
Santa Barbara,12-1120,Controller,,REP,Ashley Swearengin,151
Santa Barbara,12-1130,Controller,,DEM,Betty T. Yee,204
Santa Barbara,12-1130,Controller,,REP,Ashley Swearengin,60
Santa Barbara,12-1160,Controller,,DEM,Betty T. Yee,297
Santa Barbara,12-1160,Controller,,REP,Ashley Swearengin,89
Santa Barbara,12-1170,Controller,,DEM,Betty T. Yee,314
Santa Barbara,12-1170,Controller,,REP,Ashley Swearengin,98
Santa Barbara,12-1180,Controller,,DEM,Betty T. Yee,433
Santa Barbara,12-1180,Controller,,REP,Ashley Swearengin,174
Santa Barbara,12-1190,Controller,,DEM,Betty T. Yee,395
Santa Barbara,12-1190,Controller,,REP,Ashley Swearengin,103
Santa Barbara,12-1202,Controller,,DEM,Betty T. Yee,31
