county,precinct,office,district,party,candidate,votes
Sonoma,1001,Lieutenant Governor,,DEM,Gavin Newsom,107
Sonoma,1001,Lieutenant Governor,,REP,Ron Nehring,56
Sonoma,1002,Lieutenant Governor,,DEM,Gavin Newsom,14
Sonoma,1002,Lieutenant Governor,,REP,Ron Nehring,3
Sonoma,1004,Lieutenant Governor,,DEM,Gavin Newsom,22
Sonoma,1004,Lieutenant Governor,,REP,Ron Nehring,11
Sonoma,1006,Lieutenant Governor,,DEM,Gavin Newsom,0
Sonoma,1006,Lieutenant Governor,,REP,Ron Nehring,0
Sonoma,1008,Lieutenant Governor,,DEM,Gavin Newsom,77
Sonoma,1008,Lieutenant Governor,,REP,Ron Nehring,23
Sonoma,1009,Lieutenant Governor,,DEM,Gavin Newsom,52
Sonoma,1009,Lieutenant Governor,,REP,Ron Nehring,28
Sonoma,1010,Lieutenant Governor,,DEM,Gavin Newsom,76
Sonoma,1010,Lieutenant Governor,,REP,Ron Nehring,68
Sonoma,1011,Lieutenant Governor,,DEM,Gavin Newsom,76
Sonoma,1011,Lieutenant Governor,,REP,Ron Nehring,57
Sonoma,1012,Lieutenant Governor,,DEM,Gavin Newsom,12
Sonoma,1012,Lieutenant Governor,,REP,Ron Nehring,4
Sonoma,1016,Lieutenant Governor,,DEM,Gavin Newsom,38
Sonoma,1016,Lieutenant Governor,,REP,Ron Nehring,13
Sonoma,1017,Lieutenant Governor,,DEM,Gavin Newsom,363
Sonoma,1017,Lieutenant Governor,,REP,Ron Nehring,120
Sonoma,1021,Lieutenant Governor,,DEM,Gavin Newsom,345
Sonoma,1021,Lieutenant Governor,,REP,Ron Nehring,212
Sonoma,1023,Lieutenant Governor,,DEM,Gavin Newsom,565
Sonoma,1023,Lieutenant Governor,,REP,Ron Nehring,190
Sonoma,1025,Lieutenant Governor,,DEM,Gavin Newsom,807
Sonoma,1025,Lieutenant Governor,,REP,Ron Nehring,371
Sonoma,1028,Lieutenant Governor,,DEM,Gavin Newsom,672
Sonoma,1028,Lieutenant Governor,,REP,Ron Nehring,177
Sonoma,1030,Lieutenant Governor,,DEM,Gavin Newsom,638
Sonoma,1030,Lieutenant Governor,,REP,Ron Nehring,160
Sonoma,1032,Lieutenant Governor,,DEM,Gavin Newsom,228
Sonoma,1032,Lieutenant Governor,,REP,Ron Nehring,110
Sonoma,1033,Lieutenant Governor,,DEM,Gavin Newsom,35
Sonoma,1033,Lieutenant Governor,,REP,Ron Nehring,15
Sonoma,1034,Lieutenant Governor,,DEM,Gavin Newsom,670
Sonoma,1034,Lieutenant Governor,,REP,Ron Nehring,277
Sonoma,1035,Lieutenant Governor,,DEM,Gavin Newsom,401
Sonoma,1035,Lieutenant Governor,,REP,Ron Nehring,181
Sonoma,1037,Lieutenant Governor,,DEM,Gavin Newsom,176
Sonoma,1037,Lieutenant Governor,,REP,Ron Nehring,79
Sonoma,1042,Lieutenant Governor,,DEM,Gavin Newsom,163
Sonoma,1042,Lieutenant Governor,,REP,Ron Nehring,125
Sonoma,1043,Lieutenant Governor,,DEM,Gavin Newsom,5
Sonoma,1043,Lieutenant Governor,,REP,Ron Nehring,2
Sonoma,1050,Lieutenant Governor,,DEM,Gavin Newsom,60
Sonoma,1050,Lieutenant Governor,,REP,Ron Nehring,15
Sonoma,1051,Lieutenant Governor,,DEM,Gavin Newsom,71
Sonoma,1051,Lieutenant Governor,,REP,Ron Nehring,16
Sonoma,1053,Lieutenant Governor,,DEM,Gavin Newsom,61
Sonoma,1053,Lieutenant Governor,,REP,Ron Nehring,36
Sonoma,1055,Lieutenant Governor,,DEM,Gavin Newsom,71
Sonoma,1055,Lieutenant Governor,,REP,Ron Nehring,34
Sonoma,1057,Lieutenant Governor,,DEM,Gavin Newsom,8
Sonoma,1057,Lieutenant Governor,,REP,Ron Nehring,10
Sonoma,1060,Lieutenant Governor,,DEM,Gavin Newsom,8
Sonoma,1060,Lieutenant Governor,,REP,Ron Nehring,8
Sonoma,1061,Lieutenant Governor,,DEM,Gavin Newsom,10
Sonoma,1061,Lieutenant Governor,,REP,Ron Nehring,6
Sonoma,1065,Lieutenant Governor,,DEM,Gavin Newsom,28
Sonoma,1065,Lieutenant Governor,,REP,Ron Nehring,10
Sonoma,1066,Lieutenant Governor,,DEM,Gavin Newsom,5
Sonoma,1066,Lieutenant Governor,,REP,Ron Nehring,2
Sonoma,1067,Lieutenant Governor,,DEM,Gavin Newsom,23
Sonoma,1067,Lieutenant Governor,,REP,Ron Nehring,7
Sonoma,1068,Lieutenant Governor,,DEM,Gavin Newsom,55
Sonoma,1068,Lieutenant Governor,,REP,Ron Nehring,19
Sonoma,1069,Lieutenant Governor,,DEM,Gavin Newsom,2
Sonoma,1069,Lieutenant Governor,,REP,Ron Nehring,2
Sonoma,1070,Lieutenant Governor,,DEM,Gavin Newsom,3
Sonoma,1070,Lieutenant Governor,,REP,Ron Nehring,7
Sonoma,1072,Lieutenant Governor,,DEM,Gavin Newsom,39
Sonoma,1072,Lieutenant Governor,,REP,Ron Nehring,2
Sonoma,1073,Lieutenant Governor,,DEM,Gavin Newsom,5
Sonoma,1073,Lieutenant Governor,,REP,Ron Nehring,0
Sonoma,1075,Lieutenant Governor,,DEM,Gavin Newsom,45
Sonoma,1075,Lieutenant Governor,,REP,Ron Nehring,22
Sonoma,1077,Lieutenant Governor,,DEM,Gavin Newsom,176
Sonoma,1077,Lieutenant Governor,,REP,Ron Nehring,87
Sonoma,1078,Lieutenant Governor,,DEM,Gavin Newsom,4
Sonoma,1078,Lieutenant Governor,,REP,Ron Nehring,6
Sonoma,1079,Lieutenant Governor,,DEM,Gavin Newsom,0
Sonoma,1079,Lieutenant Governor,,REP,Ron Nehring,1
