county,precinct,office,district,party,candidate,votes
Sonoma,1001,Secretary of State,,DEM,Alex Padilla,96
Sonoma,1001,Secretary of State,,REP,Pete Peterson,61
Sonoma,1002,Secretary of State,,DEM,Alex Padilla,12
Sonoma,1002,Secretary of State,,REP,Pete Peterson,3
Sonoma,1004,Secretary of State,,DEM,Alex Padilla,17
Sonoma,1004,Secretary of State,,REP,Pete Peterson,16
Sonoma,1006,Secretary of State,,DEM,Alex Padilla,0
Sonoma,1006,Secretary of State,,REP,Pete Peterson,0
Sonoma,1008,Secretary of State,,DEM,Alex Padilla,73
Sonoma,1008,Secretary of State,,REP,Pete Peterson,24
Sonoma,1009,Secretary of State,,DEM,Alex Padilla,50
Sonoma,1009,Secretary of State,,REP,Pete Peterson,30
Sonoma,1010,Secretary of State,,DEM,Alex Padilla,57
Sonoma,1010,Secretary of State,,REP,Pete Peterson,83
Sonoma,1011,Secretary of State,,DEM,Alex Padilla,70
Sonoma,1011,Secretary of State,,REP,Pete Peterson,61
Sonoma,1012,Secretary of State,,DEM,Alex Padilla,11
Sonoma,1012,Secretary of State,,REP,Pete Peterson,4
Sonoma,1016,Secretary of State,,DEM,Alex Padilla,35
Sonoma,1016,Secretary of State,,REP,Pete Peterson,12
Sonoma,1017,Secretary of State,,DEM,Alex Padilla,332
Sonoma,1017,Secretary of State,,REP,Pete Peterson,144
Sonoma,1021,Secretary of State,,DEM,Alex Padilla,286
Sonoma,1021,Secretary of State,,REP,Pete Peterson,262
Sonoma,1023,Secretary of State,,DEM,Alex Padilla,495
Sonoma,1023,Secretary of State,,REP,Pete Peterson,238
Sonoma,1025,Secretary of State,,DEM,Alex Padilla,723
Sonoma,1025,Secretary of State,,REP,Pete Peterson,430
Sonoma,1028,Secretary of State,,DEM,Alex Padilla,637
Sonoma,1028,Secretary of State,,REP,Pete Peterson,202
Sonoma,1030,Secretary of State,,DEM,Alex Padilla,591
Sonoma,1030,Secretary of State,,REP,Pete Peterson,196
Sonoma,1032,Secretary of State,,DEM,Alex Padilla,197
Sonoma,1032,Secretary of State,,REP,Pete Peterson,130
Sonoma,1033,Secretary of State,,DEM,Alex Padilla,30
Sonoma,1033,Secretary of State,,REP,Pete Peterson,17
Sonoma,1034,Secretary of State,,DEM,Alex Padilla,614
Sonoma,1034,Secretary of State,,REP,Pete Peterson,318
Sonoma,1035,Secretary of State,,DEM,Alex Padilla,363
Sonoma,1035,Secretary of State,,REP,Pete Peterson,204
Sonoma,1037,Secretary of State,,DEM,Alex Padilla,142
Sonoma,1037,Secretary of State,,REP,Pete Peterson,103
Sonoma,1042,Secretary of State,,DEM,Alex Padilla,144
Sonoma,1042,Secretary of State,,REP,Pete Peterson,139
Sonoma,1043,Secretary of State,,DEM,Alex Padilla,3
Sonoma,1043,Secretary of State,,REP,Pete Peterson,4
Sonoma,1050,Secretary of State,,DEM,Alex Padilla,54
Sonoma,1050,Secretary of State,,REP,Pete Peterson,18
Sonoma,1051,Secretary of State,,DEM,Alex Padilla,57
Sonoma,1051,Secretary of State,,REP,Pete Peterson,28
Sonoma,1053,Secretary of State,,DEM,Alex Padilla,54
Sonoma,1053,Secretary of State,,REP,Pete Peterson,42
Sonoma,1055,Secretary of State,,DEM,Alex Padilla,53
Sonoma,1055,Secretary of State,,REP,Pete Peterson,44
Sonoma,1057,Secretary of State,,DEM,Alex Padilla,7
Sonoma,1057,Secretary of State,,REP,Pete Peterson,11
Sonoma,1060,Secretary of State,,DEM,Alex Padilla,2
Sonoma,1060,Secretary of State,,REP,Pete Peterson,9
Sonoma,1061,Secretary of State,,DEM,Alex Padilla,8
Sonoma,1061,Secretary of State,,REP,Pete Peterson,8
Sonoma,1065,Secretary of State,,DEM,Alex Padilla,21
Sonoma,1065,Secretary of State,,REP,Pete Peterson,15
Sonoma,1066,Secretary of State,,DEM,Alex Padilla,4
Sonoma,1066,Secretary of State,,REP,Pete Peterson,3
Sonoma,1067,Secretary of State,,DEM,Alex Padilla,17
Sonoma,1067,Secretary of State,,REP,Pete Peterson,10
Sonoma,1068,Secretary of State,,DEM,Alex Padilla,46
Sonoma,1068,Secretary of State,,REP,Pete Peterson,23
Sonoma,1069,Secretary of State,,DEM,Alex Padilla,2
Sonoma,1069,Secretary of State,,REP,Pete Peterson,2
Sonoma,1070,Secretary of State,,DEM,Alex Padilla,3
Sonoma,1070,Secretary of State,,REP,Pete Peterson,6
Sonoma,1072,Secretary of State,,DEM,Alex Padilla,38
Sonoma,1072,Secretary of State,,REP,Pete Peterson,3
Sonoma,1073,Secretary of State,,DEM,Alex Padilla,5
Sonoma,1073,Secretary of State,,REP,Pete Peterson,0
Sonoma,1075,Secretary of State,,DEM,Alex Padilla,43
Sonoma,1075,Secretary of State,,REP,Pete Peterson,21
Sonoma,1077,Secretary of State,,DEM,Alex Padilla,150
Sonoma,1077,Secretary of State,,REP,Pete Peterson,101
Sonoma,1078,Secretary of State,,DEM,Alex Padilla,5
Sonoma,1078,Secretary of State,,REP,Pete Peterson,5
Sonoma,1079,Secretary of State,,DEM,Alex Padilla,0
Sonoma,1079,Secretary of State,,REP,Pete Peterson,1
Sonoma,1080,Secretary of State,,DEM,Alex Padilla,43
Sonoma,1080,Secretary of State,,REP,Pete Peterson,36
Sonoma,1081,Secretary of State,,DEM,Alex Padilla,0
Sonoma,1081,Secretary of State,,REP,Pete Peterson,0
Sonoma,1082,Secretary of State,,DEM,Alex Padilla,182
Sonoma,1082,Secretary of State,,REP,Pete Peterson,99
Sonoma,1083,Secretary of State,,DEM,Alex Padilla,0
Sonoma,1083,Secretary of State,,REP,Pete Peterson,0
Sonoma,1084,Secretary of State,,DEM,Alex Padilla,4
Sonoma,1084,Secretary of State,,REP,Pete Peterson,0
Sonoma,1085,Secretary of State,,DEM,Alex Padilla,8
Sonoma,1085,Secretary of State,,REP,Pete Peterson,7
Sonoma,1086,Secretary of State,,DEM,Alex Padilla,10
Sonoma,1086,Secretary of State,,REP,Pete Peterson,5
Sonoma,1087,Secretary of State,,DEM,Alex Padilla,0
Sonoma,1087,Secretary of State,,REP,Pete Peterson,2
Sonoma,1102,Secretary of State,,DEM,Alex Padilla,648
Sonoma,1102,Secretary of State,,REP,Pete Peterson,323
Sonoma,1103,Secretary of State,,DEM,Alex Padilla,593
Sonoma,1103,Secretary of State,,REP,Pete Peterson,373
Sonoma,1106,Secretary of State,,DEM,Alex Padilla,362
Sonoma,1106,Secretary of State,,REP,Pete Peterson,198
Sonoma,1107,Secretary of State,,DEM,Alex Padilla,613
Sonoma,1107,Secretary of State,,REP,Pete Peterson,370
Sonoma,1108,Secretary of State,,DEM,Alex Padilla,496
Sonoma,1108,Secretary of State,,REP,Pete Peterson,312
Sonoma,1110,Secretary of State,,DEM,Alex Padilla,609
Sonoma,1110,Secretary of State,,REP,Pete Peterson,405
Sonoma,1112,Secretary of State,,DEM,Alex Padilla,603
Sonoma,1112,Secretary of State,,REP,Pete Peterson,218
Sonoma,1116,Secretary of State,,DEM,Alex Padilla,609
Sonoma,1116,Secretary of State,,REP,Pete Peterson,279
Sonoma,1121,Secretary of State,,DEM,Alex Padilla,668
Sonoma,1121,Secretary of State,,REP,Pete Peterson,405
Sonoma,1122,Secretary of State,,DEM,Alex Padilla,373
Sonoma,1122,Secretary of State,,REP,Pete Peterson,230
Sonoma,1123,Secretary of State,,DEM,Alex Padilla,991
Sonoma,1123,Secretary of State,,REP,Pete Peterson,630
Sonoma,1124,Secretary of State,,DEM,Alex Padilla,605
Sonoma,1124,Secretary of State,,REP,Pete Peterson,408
Sonoma,1128,Secretary of State,,DEM,Alex Padilla,328
Sonoma,1128,Secretary of State,,REP,Pete Peterson,269
Sonoma,1129,Secretary of State,,DEM,Alex Padilla,6
Sonoma,1129,Secretary of State,,REP,Pete Peterson,0
Sonoma,1136,Secretary of State,,DEM,Alex Padilla,846
Sonoma,1136,Secretary of State,,REP,Pete Peterson,432
Sonoma,1144,Secretary of State,,DEM,Alex Padilla,5
Sonoma,1144,Secretary of State,,REP,Pete Peterson,1
Sonoma,1145,Secretary of State,,DEM,Alex Padilla,301
Sonoma,1145,Secretary of State,,REP,Pete Peterson,198
Sonoma,1801,Secretary of State,,DEM,Alex Padilla,546
Sonoma,1801,Secretary of State,,REP,Pete Peterson,292
Sonoma,1802,Secretary of State,,DEM,Alex Padilla,697
Sonoma,1802,Secretary of State,,REP,Pete Peterson,339
Sonoma,1804,Secretary of State,,DEM,Alex Padilla,483
Sonoma,1804,Secretary of State,,REP,Pete Peterson,260
Sonoma,1805,Secretary of State,,DEM,Alex Padilla,843
Sonoma,1805,Secretary of State,,REP,Pete Peterson,327
Sonoma,1811,Secretary of State,,DEM,Alex Padilla,47
Sonoma,1811,Secretary of State,,REP,Pete Peterson,20
Sonoma,1812,Secretary of State,,DEM,Alex Padilla,0
Sonoma,1812,Secretary of State,,REP,Pete Peterson,0
Sonoma,1813,Secretary of State,,DEM,Alex Padilla,82
Sonoma,1813,Secretary of State,,REP,Pete Peterson,62
Sonoma,1814,Secretary of State,,DEM,Alex Padilla,1
Sonoma,1814,Secretary of State,,REP,Pete Peterson,0
