county,precinct,office,district,party,candidate,votes
Ventura,1006,President,,AIP,Alan Spears,0
Ventura,1006,President,,AIP,Arthur Harris,0
Ventura,1006,President,,LIB,Austin Petersen,0
Ventura,1006,President,,REP,Ben Carson,0
Ventura,1006,President,,DEM,Bernie Sanders,8
Ventura,1006,President,,LIB,Cecil Ince,0
Ventura,1006,President,,GRN,Darryl Cherney,0
Ventura,1006,President,,LIB,Darryl W. Perry,0
Ventura,1006,President,,LIB,Derrick M. Reid,0
Ventura,1006,President,,REP,Donald Trump,6
Ventura,1006,President,,LIB,Gary Johnson,0
Ventura,1006,President,,PAF,Gloria Estela La Riva,0
Ventura,1006,President,,DEM,Henry Hewes,0
Ventura,1006,President,,DEM,Hillary Clinton,5
Ventura,1006,President,,AIP,J.R. Myers,0
Ventura,1006,President,,LIB,"Jack Robinson, Jr.",0
Ventura,1006,President,,AIP,James Hedges,0
Ventura,1006,President,,GRN,Jill Stein,0
Ventura,1006,President,,REP,Jim Gilmore,0
Ventura,1006,President,,LIB,John Hale,0
Ventura,1006,President,,LIB,John McAfee,0
Ventura,1006,President,,REP,John R. Kasich,1
Ventura,1006,President,,LIB,Joy Waymire,0
Ventura,1006,President,,DEM,Keith Judd,0
Ventura,1006,President,,GRN,Kent Mesplay,0
Ventura,1006,President,,PAF,Lynn S. Kahn,0
Ventura,1006,President,,LIB,Marc Feldman,0
Ventura,1006,President,,DEM,Michael Steinberg,0
Ventura,1006,President,,PAF,Monica Moorehead,0
Ventura,1006,President,,LIB,Rhett White Feather Smith,0
Ventura,1006,President,,AIP,Robert Ornelas,0
Ventura,1006,President,,DEM,Roque De La Fuente,0
Ventura,1006,President,,GRN,Sedinam Moyowasifsa-Curry,0
Ventura,1006,President,,LIB,Steve Kerbel,0
Ventura,1006,President,,REP,Ted Cruz,0
Ventura,1006,President,,AIP,Thomas Hoefling,0
Ventura,1006,President,,AIP,Wiley Drake,0
Ventura,1006,President,,GRN,William Kreml,0
Ventura,1006,President,,DEM,Willie Wilson,0
Ventura,1006,State Assembly,37,IND,Edward Fuller,7
Ventura,1006,State Assembly,37,DEM,S. Monique Limón,17
Ventura,1006,State Senate,19,REP,Colin Patrick Walch,9
Ventura,1006,State Senate,19,DEM,Hannah-Beth Jackson,16
Ventura,1006,U.S. House,26,DEM,Julia Brownley,16
Ventura,1006,U.S. House,26,REP,Rafael A. Dagnesses,9
Ventura,1006,U.S. Senate,,IND,Clive Grey,0
Ventura,1006,U.S. Senate,,IND,Don J. Grundmann,0
Ventura,1006,U.S. Senate,,REP,Don Krampe,0
Ventura,1006,U.S. Senate,,REP,Duf Sundheim,4
Ventura,1006,U.S. Senate,,IND,Eleanor García,0
