county,precinct,office,district,party,candidate,votes
Modoc,020 Fort Bidwell,Governor,,Rep,John Cox,41
Modoc,040 Lake City,Governor,,Rep,John Cox,70
Modoc,060 Cedarville,Governor,,Rep,John Cox,208
Modoc,080 Eagleville,Governor,,Rep,John Cox,49
Modoc,100 Dry Creek,Governor,,Rep,John Cox,89
Modoc,140 Stateline-Willow Ranch,Governor,,Rep,John Cox,32
Modoc,160 Davis Creek,Governor,,Rep,John Cox,50
Modoc,180 North Fork,Governor,,Rep,John Cox,300
Modoc,200 Alturas B,Governor,,Rep,John Cox,93
Modoc,260 Alturas C,Governor,,Rep,John Cox,232
Modoc,280 Alturas A,Governor,,Rep,John Cox,141
Modoc,320 Alturas D,Governor,,Rep,John Cox,148
Modoc,360 Parker Creek,Governor,,Rep,John Cox,99
Modoc,380 South Fork,Governor,,Rep,John Cox,73
Modoc,400 Hot Spring,Governor,,Rep,John Cox,228
Modoc,410 Cal Pines,Governor,,Rep,John Cox,148
Modoc,420 Canby,Governor,,Rep,John Cox,100
Modoc,440 Adin,Governor,,Rep,John Cox,144
Modoc,460 Lookout,Governor,,Rep,John Cox,140
Modoc,480 Little Hot Spring (Day),Governor,,Rep,John Cox,41
Modoc,500 Newell,Governor,,Rep,John Cox,202
Modoc,MODOC CA,Governor,,Rep,John Cox,2628
Modoc,020 Fort Bidwell,Governor,,Dem,Gavin Newsom,28
Modoc,040 Lake City,Governor,,Dem,Gavin Newsom,26
Modoc,060 Cedarville,Governor,,Dem,Gavin Newsom,105
Modoc,080 Eagleville,Governor,,Dem,Gavin Newsom,14
Modoc,100 Dry Creek,Governor,,Dem,Gavin Newsom,26
Modoc,140 Stateline-Willow Ranch,Governor,,Dem,Gavin Newsom,13
Modoc,160 Davis Creek,Governor,,Dem,Gavin Newsom,8
Modoc,180 North Fork,Governor,,Dem,Gavin Newsom,62
Modoc,200 Alturas B,Governor,,Dem,Gavin Newsom,31
Modoc,260 Alturas C,Governor,,Dem,Gavin Newsom,99
Modoc,280 Alturas A,Governor,,Dem,Gavin Newsom,47
Modoc,320 Alturas D,Governor,,Dem,Gavin Newsom,88
Modoc,360 Parker Creek,Governor,,Dem,Gavin Newsom,13
Modoc,380 South Fork,Governor,,Dem,Gavin Newsom,11
Modoc,400 Hot Spring,Governor,,Dem,Gavin Newsom,32
Modoc,410 Cal Pines,Governor,,Dem,Gavin Newsom,65
Modoc,420 Canby,Governor,,Dem,Gavin Newsom,44
Modoc,440 Adin,Governor,,Dem,Gavin Newsom,29
Modoc,460 Lookout,Governor,,Dem,Gavin Newsom,24
Modoc,480 Little Hot Spring (Day),Governor,,Dem,Gavin Newsom,14
Modoc,500 Newell,Governor,,Dem,Gavin Newsom,41
Modoc,MODOC CA,Governor,,Dem,Gavin Newsom,820
Modoc,020 Fort Bidwell,Lt Governor,,Dem,Ed Hernandez,14
Modoc,040 Lake City,Lt Governor,,Dem,Ed Hernandez,32
Modoc,060 Cedarville,Lt Governor,,Dem,Ed Hernandez,83
Modoc,080 Eagleville,Lt Governor,,Dem,Ed Hernandez,19
Modoc,100 Dry Creek,Lt Governor,,Dem,Ed Hernandez,22
Modoc,140 Stateline-Willow Ranch,Lt Governor,,Dem,Ed Hernandez,13
Modoc,160 Davis Creek,Lt Governor,,Dem,Ed Hernandez,16
Modoc,180 North Fork,Lt Governor,,Dem,Ed Hernandez,122
Modoc,200 Alturas B,Lt Governor,,Dem,Ed Hernandez,28
Modoc,260 Alturas C,Lt Governor,,Dem,Ed Hernandez,107
Modoc,280 Alturas A,Lt Governor,,Dem,Ed Hernandez,67
Modoc,320 Alturas D,Lt Governor,,Dem,Ed Hernandez,85
Modoc,360 Parker Creek,Lt Governor,,Dem,Ed Hernandez,29
Modoc,380 South Fork,Lt Governor,,Dem,Ed Hernandez,26
Modoc,400 Hot Spring,Lt Governor,,Dem,Ed Hernandez,73
Modoc,410 Cal Pines,Lt Governor,,Dem,Ed Hernandez,82
Modoc,420 Canby,Lt Governor,,Dem,Ed Hernandez,42
Modoc,440 Adin,Lt Governor,,Dem,Ed Hernandez,57
Modoc,460 Lookout,Lt Governor,,Dem,Ed Hernandez,44
Modoc,480 Little Hot Spring (Day),Lt Governor,,Dem,Ed Hernandez,18
Modoc,500 Newell,Lt Governor,,Dem,Ed Hernandez,87
Modoc,MODOC CA,Lt Governor,,Dem,Ed Hernandez,1066
Modoc,020 Fort Bidwell,Lt Governor,,Dem,Eleni Kounalakis,30
Modoc,040 Lake City,Lt Governor,,Dem,Eleni Kounalakis,30
Modoc,060 Cedarville,Lt Governor,,Dem,Eleni Kounalakis,115
Modoc,080 Eagleville,Lt Governor,,Dem,Eleni Kounalakis,23
Modoc,100 Dry Creek,Lt Governor,,Dem,Eleni Kounalakis,50
Modoc,140 Stateline-Willow Ranch,Lt Governor,,Dem,Eleni Kounalakis,22
Modoc,160 Davis Creek,Lt Governor,,Dem,Eleni Kounalakis,18
Modoc,180 North Fork,Lt Governor,,Dem,Eleni Kounalakis,117
Modoc,200 Alturas B,Lt Governor,,Dem,Eleni Kounalakis,48
Modoc,260 Alturas C,Lt Governor,,Dem,Eleni Kounalakis,119
Modoc,280 Alturas A,Lt Governor,,Dem,Eleni Kounalakis,63
Modoc,320 Alturas D,Lt Governor,,Dem,Eleni Kounalakis,95
Modoc,360 Parker Creek,Lt Governor,,Dem,Eleni Kounalakis,24
Modoc,380 South Fork,Lt Governor,,Dem,Eleni Kounalakis,20
Modoc,400 Hot Spring,Lt Governor,,Dem,Eleni Kounalakis,75
Modoc,410 Cal Pines,Lt Governor,,Dem,Eleni Kounalakis,77
Modoc,420 Canby,Lt Governor,,Dem,Eleni Kounalakis,43
Modoc,440 Adin,Lt Governor,,Dem,Eleni Kounalakis,52
Modoc,460 Lookout,Lt Governor,,Dem,Eleni Kounalakis,48
Modoc,480 Little Hot Spring (Day),Lt Governor,,Dem,Eleni Kounalakis,21
Modoc,500 Newell,Lt Governor,,Dem,Eleni Kounalakis,77
Modoc,MODOC CA,Lt Governor,,Dem,Eleni Kounalakis,1167
Modoc,020 Fort Bidwell,Secretary of State,,Dem,Alex Padilla,30
Modoc,040 Lake City,Secretary of State,,Dem,Alex Padilla,31
Modoc,060 Cedarville,Secretary of State,,Dem,Alex Padilla,110
Modoc,080 Eagleville,Secretary of State,,Dem,Alex Padilla,15
Modoc,100 Dry Creek,Secretary of State,,Dem,Alex Padilla,34
Modoc,140 Stateline-Willow Ranch,Secretary of State,,Dem,Alex Padilla,17
Modoc,160 Davis Creek,Secretary of State,,Dem,Alex Padilla,7
Modoc,180 North Fork,Secretary of State,,Dem,Alex Padilla,79
Modoc,200 Alturas B,Secretary of State,,Dem,Alex Padilla,34
Modoc,260 Alturas C,Secretary of State,,Dem,Alex Padilla,116
Modoc,280 Alturas A,Secretary of State,,Dem,Alex Padilla,54
Modoc,320 Alturas D,Secretary of State,,Dem,Alex Padilla,94
Modoc,360 Parker Creek,Secretary of State,,Dem,Alex Padilla,21
Modoc,380 South Fork,Secretary of State,,Dem,Alex Padilla,17
Modoc,400 Hot Spring,Secretary of State,,Dem,Alex Padilla,40
Modoc,410 Cal Pines,Secretary of State,,Dem,Alex Padilla,68
Modoc,420 Canby,Secretary of State,,Dem,Alex Padilla,46
Modoc,440 Adin,Secretary of State,,Dem,Alex Padilla,34
Modoc,460 Lookout,Secretary of State,,Dem,Alex Padilla,33
Modoc,480 Little Hot Spring (Day),Secretary of State,,Dem,Alex Padilla,18
Modoc,500 Newell,Secretary of State,,Dem,Alex Padilla,50
Modoc,MODOC CA,Secretary of State,,Dem,Alex Padilla,948
Modoc,020 Fort Bidwell,Secretary of State,,Rep,Mark Meuser,39
Modoc,040 Lake City,Secretary of State,,Rep,Mark Meuser,64
Modoc,060 Cedarville,Secretary of State,,Rep,Mark Meuser,196
Modoc,080 Eagleville,Secretary of State,,Rep,Mark Meuser,49
Modoc,100 Dry Creek,Secretary of State,,Rep,Mark Meuser,79
Modoc,140 Stateline-Willow Ranch,Secretary of State,,Rep,Mark Meuser,30
Modoc,160 Davis Creek,Secretary of State,,Rep,Mark Meuser,50
Modoc,180 North Fork,Secretary of State,,Rep,Mark Meuser,282
Modoc,200 Alturas B,Secretary of State,,Rep,Mark Meuser,87
Modoc,260 Alturas C,Secretary of State,,Rep,Mark Meuser,206
Modoc,280 Alturas A,Secretary of State,,Rep,Mark Meuser,131
Modoc,320 Alturas D,Secretary of State,,Rep,Mark Meuser,138
Modoc,360 Parker Creek,Secretary of State,,Rep,Mark Meuser,94
Modoc,380 South Fork,Secretary of State,,Rep,Mark Meuser,66
Modoc,400 Hot Spring,Secretary of State,,Rep,Mark Meuser,216
Modoc,410 Cal Pines,Secretary of State,,Rep,Mark Meuser,142
Modoc,420 Canby,Secretary of State,,Rep,Mark Meuser,94
Modoc,440 Adin,Secretary of State,,Rep,Mark Meuser,136
Modoc,460 Lookout,Secretary of State,,Rep,Mark Meuser,128
Modoc,480 Little Hot Spring (Day),Secretary of State,,Rep,Mark Meuser,38
Modoc,500 Newell,Secretary of State,,Rep,Mark Meuser,192
Modoc,MODOC CA,Secretary of State,,Rep,Mark Meuser,2457
Modoc,020 Fort Bidwell,Controller,,Rep,Konstantinos Roditis,37
Modoc,040 Lake City,Controller,,Rep,Konstantinos Roditis,64
Modoc,060 Cedarville,Controller,,Rep,Konstantinos Roditis,187
Modoc,080 Eagleville,Controller,,Rep,Konstantinos Roditis,45
Modoc,100 Dry Creek,Controller,,Rep,Konstantinos Roditis,76
Modoc,140 Stateline-Willow Ranch,Controller,,Rep,Konstantinos Roditis,32
Modoc,160 Davis Creek,Controller,,Rep,Konstantinos Roditis,45
Modoc,180 North Fork,Controller,,Rep,Konstantinos Roditis,267
Modoc,200 Alturas B,Controller,,Rep,Konstantinos Roditis,74
Modoc,260 Alturas C,Controller,,Rep,Konstantinos Roditis,196
Modoc,280 Alturas A,Controller,,Rep,Konstantinos Roditis,123
Modoc,320 Alturas D,Controller,,Rep,Konstantinos Roditis,134
Modoc,360 Parker Creek,Controller,,Rep,Konstantinos Roditis,88
Modoc,380 South Fork,Controller,,Rep,Konstantinos Roditis,68
Modoc,400 Hot Spring,Controller,,Rep,Konstantinos Roditis,207
Modoc,410 Cal Pines,Controller,,Rep,Konstantinos Roditis,133
Modoc,420 Canby,Controller,,Rep,Konstantinos Roditis,87
Modoc,440 Adin,Controller,,Rep,Konstantinos Roditis,133
Modoc,460 Lookout,Controller,,Rep,Konstantinos Roditis,130
Modoc,480 Little Hot Spring (Day),Controller,,Rep,Konstantinos Roditis,37
Modoc,500 Newell,Controller,,Rep,Konstantinos Roditis,186
Modoc,MODOC CA,Controller,,Rep,Konstantinos Roditis,2349
Modoc,020 Fort Bidwell,Controller,,Dem,Betty Yee,31
Modoc,040 Lake City,Controller,,Dem,Betty Yee,30
Modoc,060 Cedarville,Controller,,Dem,Betty Yee,118
Modoc,080 Eagleville,Controller,,Dem,Betty Yee,19
Modoc,100 Dry Creek,Controller,,Dem,Betty Yee,36
Modoc,140 Stateline-Willow Ranch,Controller,,Dem,Betty Yee,15
Modoc,160 Davis Creek,Controller,,Dem,Betty Yee,9
Modoc,180 North Fork,Controller,,Dem,Betty Yee,91
Modoc,200 Alturas B,Controller,,Dem,Betty Yee,45
Modoc,260 Alturas C,Controller,,Dem,Betty Yee,130
Modoc,280 Alturas A,Controller,,Dem,Betty Yee,62
Modoc,320 Alturas D,Controller,,Dem,Betty Yee,101
Modoc,360 Parker Creek,Controller,,Dem,Betty Yee,27
Modoc,380 South Fork,Controller,,Dem,Betty Yee,16
Modoc,400 Hot Spring,Controller,,Dem,Betty Yee,45
Modoc,410 Cal Pines,Controller,,Dem,Betty Yee,74
Modoc,420 Canby,Controller,,Dem,Betty Yee,50
Modoc,440 Adin,Controller,,Dem,Betty Yee,37
Modoc,460 Lookout,Controller,,Dem,Betty Yee,30
Modoc,480 Little Hot Spring (Day),Controller,,Dem,Betty Yee,19
Modoc,500 Newell,Controller,,Dem,Betty Yee,55
Modoc,MODOC CA,Controller,,Dem,Betty Yee,1040
Modoc,020 Fort Bidwell,Treasurer,,Rep,Greg Conlon,40
Modoc,040 Lake City,Treasurer,,Rep,Greg Conlon,66
Modoc,060 Cedarville,Treasurer,,Rep,Greg Conlon,194
Modoc,080 Eagleville,Treasurer,,Rep,Greg Conlon,45
Modoc,100 Dry Creek,Treasurer,,Rep,Greg Conlon,82
Modoc,140 Stateline-Willow Ranch,Treasurer,,Rep,Greg Conlon,30
Modoc,160 Davis Creek,Treasurer,,Rep,Greg Conlon,48
Modoc,180 North Fork,Treasurer,,Rep,Greg Conlon,286
Modoc,200 Alturas B,Treasurer,,Rep,Greg Conlon,80
Modoc,260 Alturas C,Treasurer,,Rep,Greg Conlon,214
