precinct,office,district,party,candidate,votes,provisional,absentee,polling,mail,county
020 Fort Bidwell,Governor,,,GAVIN NEWSOM,28,1,0,0,27,Modoc
040 Lake City,Governor,,,GAVIN NEWSOM,26,0,0,0,26,Modoc
060 Cedarville,Governor,,,GAVIN NEWSOM,105,3,60,42,0,Modoc
080 Eagleville,Governor,,,GAVIN NEWSOM,14,1,0,0,13,Modoc
100 Dry Creek,Governor,,,GAVIN NEWSOM,26,0,0,0,26,Modoc
140 Stateline-Willow Ranch,Governor,,,GAVIN NEWSOM,13,1,0,0,12,Modoc
160 Davis Creek,Governor,,,GAVIN NEWSOM,8,0,0,0,8,Modoc
180 North Fork,Governor,,,GAVIN NEWSOM,62,3,48,11,0,Modoc
200 Alturas B,Governor,,,GAVIN NEWSOM,31,1,20,10,0,Modoc
260 Alturas C,Governor,,,GAVIN NEWSOM,99,5,58,36,0,Modoc
280 Alturas A,Governor,,,GAVIN NEWSOM,47,1,35,11,0,Modoc
320 Alturas D,Governor,,,GAVIN NEWSOM,88,4,49,35,0,Modoc
360 Parker Creek,Governor,,,GAVIN NEWSOM,13,0,0,0,13,Modoc
380 South Fork,Governor,,,GAVIN NEWSOM,11,0,0,0,11,Modoc
400 Hot Spring,Governor,,,GAVIN NEWSOM,32,2,23,7,0,Modoc
410 Cal Pines,Governor,,,GAVIN NEWSOM,65,7,40,18,0,Modoc
420 Canby,Governor,,,GAVIN NEWSOM,44,1,0,0,43,Modoc
440 Adin,Governor,,,GAVIN NEWSOM,29,0,0,0,29,Modoc
460 Lookout,Governor,,,GAVIN NEWSOM,24,0,0,0,24,Modoc
480 Little Hot Spring (Day),Governor,,,GAVIN NEWSOM,14,0,0,0,14,Modoc
500 Newell,Governor,,,GAVIN NEWSOM,41,2,26,13,0,Modoc
MODOC CA,Governor,,,GAVIN NEWSOM,820,32,359,183,246,Modoc
020 Fort Bidwell,Governor,,,JOHN H. COX,41,0,0,0,41,Modoc
040 Lake City,Governor,,,JOHN H. COX,70,0,0,0,70,Modoc
060 Cedarville,Governor,,,JOHN H. COX,208,2,123,83,0,Modoc
080 Eagleville,Governor,,,JOHN H. COX,49,0,0,0,49,Modoc
100 Dry Creek,Governor,,,JOHN H. COX,89,4,0,0,85,Modoc
140 Stateline-Willow Ranch,Governor,,,JOHN H. COX,32,0,0,0,32,Modoc
160 Davis Creek,Governor,,,JOHN H. COX,50,0,0,0,50,Modoc
180 North Fork,Governor,,,JOHN H. COX,300,11,196,93,0,Modoc
200 Alturas B,Governor,,,JOHN H. COX,93,3,69,21,0,Modoc
260 Alturas C,Governor,,,JOHN H. COX,232,5,137,90,0,Modoc
280 Alturas A,Governor,,,JOHN H. COX,141,6,85,50,0,Modoc
320 Alturas D,Governor,,,JOHN H. COX,148,6,93,49,0,Modoc
360 Parker Creek,Governor,,,JOHN H. COX,99,2,0,0,97,Modoc
